Chemical	cJMP	Unit	Date	Well	Organism	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-17	E1	5133	0	TRUE	1	0	0.092	sunrise
mecillinam	32	ng/mL	2022-03-17	E2	5133	60	TRUE	1	0	0.093	sunrise
nickel(ii)	70	mM	2022-03-17	E3	5133	5	TRUE	1	0	0.107	sunrise
novobiocin	37	ug/mL	2022-03-17	E4	5133	60	TRUE	1	0	0.095	sunrise
urea	227	mM	2022-03-17	E5	5133	500	TRUE	1	0	0.094	sunrise
vancomycin	56	ug/mL	2022-03-17	E6	5133	100	TRUE	1	0	0.093	sunrise
none	0		2022-03-17	E7	5146	0	TRUE	1	0	0.092	sunrise
mecillinam	32	ng/mL	2022-03-17	E8	5146	60	TRUE	1	0	0.093	sunrise
nickel(ii)	70	mM	2022-03-17	E9	5146	5	TRUE	1	0	0.106	sunrise
novobiocin	37	ug/mL	2022-03-17	E10	5146	60	TRUE	1	0	0.096	sunrise
urea	227	mM	2022-03-17	E11	5146	500	TRUE	1	0	0.092	sunrise
vancomycin	56	ug/mL	2022-03-17	E12	5146	100	TRUE	1	0	0.093	sunrise
none	0		2022-03-17	F1	5133	0	TRUE	2	0	0.094	sunrise
mecillinam	32	ng/mL	2022-03-17	F2	5133	60	TRUE	2	0	0.095	sunrise
nickel(ii)	70	mM	2022-03-17	F3	5133	5	TRUE	2	0	0.106	sunrise
novobiocin	37	ug/mL	2022-03-17	F4	5133	60	TRUE	2	0	0.098	sunrise
urea	227	mM	2022-03-17	F5	5133	500	TRUE	2	0	0.096	sunrise
vancomycin	56	ug/mL	2022-03-17	F6	5133	100	TRUE	2	0	0.093	sunrise
none	0		2022-03-17	F7	5146	0	TRUE	2	0	0.093	sunrise
mecillinam	32	ng/mL	2022-03-17	F8	5146	60	TRUE	2	0	0.095	sunrise
nickel(ii)	70	mM	2022-03-17	F9	5146	5	TRUE	2	0	0.107	sunrise
novobiocin	37	ug/mL	2022-03-17	F10	5146	60	TRUE	2	0	0.097	sunrise
urea	227	mM	2022-03-17	F11	5146	500	TRUE	2	0	0.094	sunrise
vancomycin	56	ug/mL	2022-03-17	F12	5146	100	TRUE	2	0	0.094	sunrise
none	0		2022-03-17	G1	5133	0	TRUE	3	0	0.096	sunrise
mecillinam	32	ng/mL	2022-03-17	G2	5133	60	TRUE	3	0	0.094	sunrise
nickel(ii)	70	mM	2022-03-17	G3	5133	5	TRUE	3	0	0.129	sunrise
novobiocin	37	ug/mL	2022-03-17	G4	5133	60	TRUE	3	0	0.096	sunrise
urea	227	mM	2022-03-17	G5	5133	500	TRUE	3	0	0.097	sunrise
vancomycin	56	ug/mL	2022-03-17	G6	5133	100	TRUE	3	0	0.098	sunrise
none	0		2022-03-17	G7	5146	0	TRUE	3	0	0.096	sunrise
mecillinam	32	ng/mL	2022-03-17	G8	5146	60	TRUE	3	0	0.097	sunrise
nickel(ii)	70	mM	2022-03-17	G9	5146	5	TRUE	3	0	0.124	sunrise
novobiocin	37	ug/mL	2022-03-17	G10	5146	60	TRUE	3	0	0.099	sunrise
urea	227	mM	2022-03-17	G11	5146	500	TRUE	3	0	0.095	sunrise
vancomycin	56	ug/mL	2022-03-17	G12	5146	100	TRUE	3	0	0.104	sunrise
none	0		2022-03-17	H1	5133	0	TRUE	4	0	0.098	sunrise
mecillinam	32	ng/mL	2022-03-17	H2	5133	60	TRUE	4	0	0.098	sunrise
nickel(ii)	70	mM	2022-03-17	H3	5133	5	TRUE	4	0	0.108	sunrise
novobiocin	37	ug/mL	2022-03-17	H4	5133	60	TRUE	4	0	0.096	sunrise
urea	227	mM	2022-03-17	H5	5133	500	TRUE	4	0	0.104	sunrise
vancomycin	56	ug/mL	2022-03-17	H6	5133	100	TRUE	4	0	0.1	sunrise
none	0		2022-03-17	H7	5146	0	TRUE	4	0	0.101	sunrise
mecillinam	32	ng/mL	2022-03-17	H8	5146	60	TRUE	4	0	0.103	sunrise
nickel(ii)	70	mM	2022-03-17	H9	5146	5	TRUE	4	0	0.113	sunrise
novobiocin	37	ug/mL	2022-03-17	H10	5146	60	TRUE	4	0	0.097	sunrise
urea	227	mM	2022-03-17	H11	5146	500	TRUE	4	0	0.103	sunrise
vancomycin	56	ug/mL	2022-03-17	H12	5146	100	TRUE	4	0	0.099	sunrise
none	0		2022-03-17	A1	5133	0	FALSE	1	900	0.096	sunrise
mecillinam	32	ng/mL	2022-03-17	A2	5133	60	FALSE	1	900	0.097	sunrise
nickel(ii)	70	mM	2022-03-17	A3	5133	5	FALSE	1	900	0.107	sunrise
novobiocin	37	ug/mL	2022-03-17	A4	5133	60	FALSE	1	900	0.098	sunrise
urea	227	mM	2022-03-17	A5	5133	500	FALSE	1	900	0.098	sunrise
vancomycin	56	ug/mL	2022-03-17	A6	5133	100	FALSE	1	900	0.098	sunrise
none	0		2022-03-17	A7	5146	0	FALSE	1	900	0.096	sunrise
mecillinam	32	ng/mL	2022-03-17	A8	5146	60	FALSE	1	900	0.095	sunrise
nickel(ii)	70	mM	2022-03-17	A9	5146	5	FALSE	1	900	0.108	sunrise
novobiocin	37	ug/mL	2022-03-17	A10	5146	60	FALSE	1	900	0.097	sunrise
urea	227	mM	2022-03-17	A11	5146	500	FALSE	1	900	0.096	sunrise
vancomycin	56	ug/mL	2022-03-17	A12	5146	100	FALSE	1	900	0.096	sunrise
none	0		2022-03-17	B1	5133	0	FALSE	2	900	0.097	sunrise
mecillinam	32	ng/mL	2022-03-17	B2	5133	60	FALSE	2	900	0.101	sunrise
nickel(ii)	70	mM	2022-03-17	B3	5133	5	FALSE	2	900	0.109	sunrise
novobiocin	37	ug/mL	2022-03-17	B4	5133	60	FALSE	2	900	0.102	sunrise
urea	227	mM	2022-03-17	B5	5133	500	FALSE	2	900	0.097	sunrise
vancomycin	56	ug/mL	2022-03-17	B6	5133	100	FALSE	2	900	0.097	sunrise
none	0		2022-03-17	B7	5146	0	FALSE	2	900	0.095	sunrise
mecillinam	32	ng/mL	2022-03-17	B8	5146	60	FALSE	2	900	0.096	sunrise
nickel(ii)	70	mM	2022-03-17	B9	5146	5	FALSE	2	900	0.108	sunrise
novobiocin	37	ug/mL	2022-03-17	B10	5146	60	FALSE	2	900	0.099	sunrise
urea	227	mM	2022-03-17	B11	5146	500	FALSE	2	900	0.096	sunrise
vancomycin	56	ug/mL	2022-03-17	B12	5146	100	FALSE	2	900	0.104	sunrise
none	0		2022-03-17	C1	5133	0	FALSE	3	900	0.098	sunrise
mecillinam	32	ng/mL	2022-03-17	C2	5133	60	FALSE	3	900	0.097	sunrise
nickel(ii)	70	mM	2022-03-17	C3	5133	5	FALSE	3	900	0.11	sunrise
novobiocin	37	ug/mL	2022-03-17	C4	5133	60	FALSE	3	900	0.098	sunrise
urea	227	mM	2022-03-17	C5	5133	500	FALSE	3	900	0.098	sunrise
vancomycin	56	ug/mL	2022-03-17	C6	5133	100	FALSE	3	900	0.098	sunrise
none	0		2022-03-17	C7	5146	0	FALSE	3	900	0.097	sunrise
mecillinam	32	ng/mL	2022-03-17	C8	5146	60	FALSE	3	900	0.098	sunrise
nickel(ii)	70	mM	2022-03-17	C9	5146	5	FALSE	3	900	0.11	sunrise
novobiocin	37	ug/mL	2022-03-17	C10	5146	60	FALSE	3	900	0.097	sunrise
urea	227	mM	2022-03-17	C11	5146	500	FALSE	3	900	0.098	sunrise
vancomycin	56	ug/mL	2022-03-17	C12	5146	100	FALSE	3	900	0.098	sunrise
none	0		2022-03-17	D1	5133	0	FALSE	4	900	0.099	sunrise
mecillinam	32	ng/mL	2022-03-17	D2	5133	60	FALSE	4	900	0.1	sunrise
nickel(ii)	70	mM	2022-03-17	D3	5133	5	FALSE	4	900	0.121	sunrise
novobiocin	37	ug/mL	2022-03-17	D4	5133	60	FALSE	4	900	0.098	sunrise
urea	227	mM	2022-03-17	D5	5133	500	FALSE	4	900	0.098	sunrise
vancomycin	56	ug/mL	2022-03-17	D6	5133	100	FALSE	4	900	0.097	sunrise
none	0		2022-03-17	D7	5146	0	FALSE	4	900	0.096	sunrise
mecillinam	32	ng/mL	2022-03-17	D8	5146	60	FALSE	4	900	0.097	sunrise
nickel(ii)	70	mM	2022-03-17	D9	5146	5	FALSE	4	900	0.114	sunrise
novobiocin	37	ug/mL	2022-03-17	D10	5146	60	FALSE	4	900	0.099	sunrise
urea	227	mM	2022-03-17	D11	5146	500	FALSE	4	900	0.097	sunrise
vancomycin	56	ug/mL	2022-03-17	D12	5146	100	FALSE	4	900	0.097	sunrise
none	0		2022-03-17	E1	5133	0	TRUE	1	900	0.097	sunrise
mecillinam	32	ng/mL	2022-03-17	E2	5133	60	TRUE	1	900	0.096	sunrise
nickel(ii)	70	mM	2022-03-17	E3	5133	5	TRUE	1	900	0.108	sunrise
novobiocin	37	ug/mL	2022-03-17	E4	5133	60	TRUE	1	900	0.098	sunrise
urea	227	mM	2022-03-17	E5	5133	500	TRUE	1	900	0.097	sunrise
vancomycin	56	ug/mL	2022-03-17	E6	5133	100	TRUE	1	900	0.096	sunrise
none	0		2022-03-17	E7	5146	0	TRUE	1	900	0.094	sunrise
mecillinam	32	ng/mL	2022-03-17	E8	5146	60	TRUE	1	900	0.095	sunrise
nickel(ii)	70	mM	2022-03-17	E9	5146	5	TRUE	1	900	0.108	sunrise
novobiocin	37	ug/mL	2022-03-17	E10	5146	60	TRUE	1	900	0.098	sunrise
urea	227	mM	2022-03-17	E11	5146	500	TRUE	1	900	0.095	sunrise
vancomycin	56	ug/mL	2022-03-17	E12	5146	100	TRUE	1	900	0.096	sunrise
none	0		2022-03-17	F1	5133	0	TRUE	2	900	0.097	sunrise
mecillinam	32	ng/mL	2022-03-17	F2	5133	60	TRUE	2	900	0.098	sunrise
nickel(ii)	70	mM	2022-03-17	F3	5133	5	TRUE	2	900	0.109	sunrise
novobiocin	37	ug/mL	2022-03-17	F4	5133	60	TRUE	2	900	0.1	sunrise
urea	227	mM	2022-03-17	F5	5133	500	TRUE	2	900	0.098	sunrise
vancomycin	56	ug/mL	2022-03-17	F6	5133	100	TRUE	2	900	0.096	sunrise
none	0		2022-03-17	F7	5146	0	TRUE	2	900	0.096	sunrise
mecillinam	32	ng/mL	2022-03-17	F8	5146	60	TRUE	2	900	0.097	sunrise
nickel(ii)	70	mM	2022-03-17	F9	5146	5	TRUE	2	900	0.109	sunrise
novobiocin	37	ug/mL	2022-03-17	F10	5146	60	TRUE	2	900	0.097	sunrise
urea	227	mM	2022-03-17	F11	5146	500	TRUE	2	900	0.096	sunrise
vancomycin	56	ug/mL	2022-03-17	F12	5146	100	TRUE	2	900	0.096	sunrise
none	0		2022-03-17	G1	5133	0	TRUE	3	900	0.115	sunrise
mecillinam	32	ng/mL	2022-03-17	G2	5133	60	TRUE	3	900	0.107	sunrise
nickel(ii)	70	mM	2022-03-17	G3	5133	5	TRUE	3	900	0.148	sunrise
novobiocin	37	ug/mL	2022-03-17	G4	5133	60	TRUE	3	900	0.101	sunrise
urea	227	mM	2022-03-17	G5	5133	500	TRUE	3	900	0.108	sunrise
vancomycin	56	ug/mL	2022-03-17	G6	5133	100	TRUE	3	900	0.108	sunrise
none	0		2022-03-17	G7	5146	0	TRUE	3	900	0.101	sunrise
mecillinam	32	ng/mL	2022-03-17	G8	5146	60	TRUE	3	900	0.101	sunrise
nickel(ii)	70	mM	2022-03-17	G9	5146	5	TRUE	3	900	0.122	sunrise
novobiocin	37	ug/mL	2022-03-17	G10	5146	60	TRUE	3	900	0.103	sunrise
urea	227	mM	2022-03-17	G11	5146	500	TRUE	3	900	0.098	sunrise
vancomycin	56	ug/mL	2022-03-17	G12	5146	100	TRUE	3	900	0.105	sunrise
none	0		2022-03-17	H1	5133	0	TRUE	4	900	0.099	sunrise
mecillinam	32	ng/mL	2022-03-17	H2	5133	60	TRUE	4	900	0.099	sunrise
nickel(ii)	70	mM	2022-03-17	H3	5133	5	TRUE	4	900	0.111	sunrise
novobiocin	37	ug/mL	2022-03-17	H4	5133	60	TRUE	4	900	0.102	sunrise
urea	227	mM	2022-03-17	H5	5133	500	TRUE	4	900	0.105	sunrise
vancomycin	56	ug/mL	2022-03-17	H6	5133	100	TRUE	4	900	0.1	sunrise
none	0		2022-03-17	H7	5146	0	TRUE	4	900	0.098	sunrise
mecillinam	32	ng/mL	2022-03-17	H8	5146	60	TRUE	4	900	0.1	sunrise
nickel(ii)	70	mM	2022-03-17	H9	5146	5	TRUE	4	900	0.113	sunrise
novobiocin	37	ug/mL	2022-03-17	H10	5146	60	TRUE	4	900	0.105	sunrise
urea	227	mM	2022-03-17	H11	5146	500	TRUE	4	900	0.1	sunrise
vancomycin	56	ug/mL	2022-03-17	H12	5146	100	TRUE	4	900	0.1	sunrise
none	0		2022-03-17	A1	5133	0	FALSE	1	1800	0.103	sunrise
mecillinam	32	ng/mL	2022-03-17	A2	5133	60	FALSE	1	1800	0.103	sunrise
nickel(ii)	70	mM	2022-03-17	A3	5133	5	FALSE	1	1800	0.11	sunrise
novobiocin	37	ug/mL	2022-03-17	A4	5133	60	FALSE	1	1800	0.104	sunrise
urea	227	mM	2022-03-17	A5	5133	500	FALSE	1	1800	0.106	sunrise
vancomycin	56	ug/mL	2022-03-17	A6	5133	100	FALSE	1	1800	0.105	sunrise
none	0		2022-03-17	A7	5146	0	FALSE	1	1800	0.101	sunrise
mecillinam	32	ng/mL	2022-03-17	A8	5146	60	FALSE	1	1800	0.101	sunrise
nickel(ii)	70	mM	2022-03-17	A9	5146	5	FALSE	1	1800	0.111	sunrise
novobiocin	37	ug/mL	2022-03-17	A10	5146	60	FALSE	1	1800	0.101	sunrise
urea	227	mM	2022-03-17	A11	5146	500	FALSE	1	1800	0.102	sunrise
vancomycin	56	ug/mL	2022-03-17	A12	5146	100	FALSE	1	1800	0.102	sunrise
none	0		2022-03-17	B1	5133	0	FALSE	2	1800	0.104	sunrise
mecillinam	32	ng/mL	2022-03-17	B2	5133	60	FALSE	2	1800	0.107	sunrise
nickel(ii)	70	mM	2022-03-17	B3	5133	5	FALSE	2	1800	0.118	sunrise
novobiocin	37	ug/mL	2022-03-17	B4	5133	60	FALSE	2	1800	0.107	sunrise
urea	227	mM	2022-03-17	B5	5133	500	FALSE	2	1800	0.103	sunrise
vancomycin	56	ug/mL	2022-03-17	B6	5133	100	FALSE	2	1800	0.103	sunrise
none	0		2022-03-17	B7	5146	0	FALSE	2	1800	0.1	sunrise
mecillinam	32	ng/mL	2022-03-17	B8	5146	60	FALSE	2	1800	0.102	sunrise
nickel(ii)	70	mM	2022-03-17	B9	5146	5	FALSE	2	1800	0.112	sunrise
novobiocin	37	ug/mL	2022-03-17	B10	5146	60	FALSE	2	1800	0.103	sunrise
urea	227	mM	2022-03-17	B11	5146	500	FALSE	2	1800	0.1	sunrise
vancomycin	56	ug/mL	2022-03-17	B12	5146	100	FALSE	2	1800	0.106	sunrise
none	0		2022-03-17	C1	5133	0	FALSE	3	1800	0.103	sunrise
mecillinam	32	ng/mL	2022-03-17	C2	5133	60	FALSE	3	1800	0.102	sunrise
nickel(ii)	70	mM	2022-03-17	C3	5133	5	FALSE	3	1800	0.109	sunrise
novobiocin	37	ug/mL	2022-03-17	C4	5133	60	FALSE	3	1800	0.104	sunrise
urea	227	mM	2022-03-17	C5	5133	500	FALSE	3	1800	0.102	sunrise
vancomycin	56	ug/mL	2022-03-17	C6	5133	100	FALSE	3	1800	0.103	sunrise
none	0		2022-03-17	C7	5146	0	FALSE	3	1800	0.1	sunrise
mecillinam	32	ng/mL	2022-03-17	C8	5146	60	FALSE	3	1800	0.102	sunrise
nickel(ii)	70	mM	2022-03-17	C9	5146	5	FALSE	3	1800	0.109	sunrise
novobiocin	37	ug/mL	2022-03-17	C10	5146	60	FALSE	3	1800	0.101	sunrise
urea	227	mM	2022-03-17	C11	5146	500	FALSE	3	1800	0.1	sunrise
vancomycin	56	ug/mL	2022-03-17	C12	5146	100	FALSE	3	1800	0.102	sunrise
none	0		2022-03-17	D1	5133	0	FALSE	4	1800	0.104	sunrise
mecillinam	32	ng/mL	2022-03-17	D2	5133	60	FALSE	4	1800	0.104	sunrise
nickel(ii)	70	mM	2022-03-17	D3	5133	5	FALSE	4	1800	0.111	sunrise
novobiocin	37	ug/mL	2022-03-17	D4	5133	60	FALSE	4	1800	0.103	sunrise
urea	227	mM	2022-03-17	D5	5133	500	FALSE	4	1800	0.103	sunrise
vancomycin	56	ug/mL	2022-03-17	D6	5133	100	FALSE	4	1800	0.101	sunrise
none	0		2022-03-17	D7	5146	0	FALSE	4	1800	0.101	sunrise
mecillinam	32	ng/mL	2022-03-17	D8	5146	60	FALSE	4	1800	0.101	sunrise
nickel(ii)	70	mM	2022-03-17	D9	5146	5	FALSE	4	1800	0.111	sunrise
novobiocin	37	ug/mL	2022-03-17	D10	5146	60	FALSE	4	1800	0.102	sunrise
urea	227	mM	2022-03-17	D11	5146	500	FALSE	4	1800	0.101	sunrise
vancomycin	56	ug/mL	2022-03-17	D12	5146	100	FALSE	4	1800	0.102	sunrise
none	0		2022-03-17	E1	5133	0	TRUE	1	1800	0.102	sunrise
mecillinam	32	ng/mL	2022-03-17	E2	5133	60	TRUE	1	1800	0.102	sunrise
nickel(ii)	70	mM	2022-03-17	E3	5133	5	TRUE	1	1800	0.11	sunrise
novobiocin	37	ug/mL	2022-03-17	E4	5133	60	TRUE	1	1800	0.104	sunrise
urea	227	mM	2022-03-17	E5	5133	500	TRUE	1	1800	0.102	sunrise
vancomycin	56	ug/mL	2022-03-17	E6	5133	100	TRUE	1	1800	0.101	sunrise
none	0		2022-03-17	E7	5146	0	TRUE	1	1800	0.099	sunrise
mecillinam	32	ng/mL	2022-03-17	E8	5146	60	TRUE	1	1800	0.1	sunrise
nickel(ii)	70	mM	2022-03-17	E9	5146	5	TRUE	1	1800	0.109	sunrise
novobiocin	37	ug/mL	2022-03-17	E10	5146	60	TRUE	1	1800	0.102	sunrise
urea	227	mM	2022-03-17	E11	5146	500	TRUE	1	1800	0.099	sunrise
vancomycin	56	ug/mL	2022-03-17	E12	5146	100	TRUE	1	1800	0.101	sunrise
none	0		2022-03-17	F1	5133	0	TRUE	2	1800	0.103	sunrise
mecillinam	32	ng/mL	2022-03-17	F2	5133	60	TRUE	2	1800	0.103	sunrise
nickel(ii)	70	mM	2022-03-17	F3	5133	5	TRUE	2	1800	0.109	sunrise
novobiocin	37	ug/mL	2022-03-17	F4	5133	60	TRUE	2	1800	0.106	sunrise
urea	227	mM	2022-03-17	F5	5133	500	TRUE	2	1800	0.102	sunrise
vancomycin	56	ug/mL	2022-03-17	F6	5133	100	TRUE	2	1800	0.102	sunrise
none	0		2022-03-17	F7	5146	0	TRUE	2	1800	0.1	sunrise
mecillinam	32	ng/mL	2022-03-17	F8	5146	60	TRUE	2	1800	0.1	sunrise
nickel(ii)	70	mM	2022-03-17	F9	5146	5	TRUE	2	1800	0.109	sunrise
novobiocin	37	ug/mL	2022-03-17	F10	5146	60	TRUE	2	1800	0.101	sunrise
urea	227	mM	2022-03-17	F11	5146	500	TRUE	2	1800	0.1	sunrise
vancomycin	56	ug/mL	2022-03-17	F12	5146	100	TRUE	2	1800	0.101	sunrise
none	0		2022-03-17	G1	5133	0	TRUE	3	1800	0.105	sunrise
mecillinam	32	ng/mL	2022-03-17	G2	5133	60	TRUE	3	1800	0.103	sunrise
nickel(ii)	70	mM	2022-03-17	G3	5133	5	TRUE	3	1800	0.118	sunrise
novobiocin	37	ug/mL	2022-03-17	G4	5133	60	TRUE	3	1800	0.105	sunrise
urea	227	mM	2022-03-17	G5	5133	500	TRUE	3	1800	0.104	sunrise
vancomycin	56	ug/mL	2022-03-17	G6	5133	100	TRUE	3	1800	0.104	sunrise
none	0		2022-03-17	G7	5146	0	TRUE	3	1800	0.102	sunrise
mecillinam	32	ng/mL	2022-03-17	G8	5146	60	TRUE	3	1800	0.104	sunrise
nickel(ii)	70	mM	2022-03-17	G9	5146	5	TRUE	3	1800	0.111	sunrise
novobiocin	37	ug/mL	2022-03-17	G10	5146	60	TRUE	3	1800	0.105	sunrise
urea	227	mM	2022-03-17	G11	5146	500	TRUE	3	1800	0.102	sunrise
vancomycin	56	ug/mL	2022-03-17	G12	5146	100	TRUE	3	1800	0.109	sunrise
none	0		2022-03-17	H1	5133	0	TRUE	4	1800	0.13	sunrise
mecillinam	32	ng/mL	2022-03-17	H2	5133	60	TRUE	4	1800	0.117	sunrise
nickel(ii)	70	mM	2022-03-17	H3	5133	5	TRUE	4	1800	0.127	sunrise
novobiocin	37	ug/mL	2022-03-17	H4	5133	60	TRUE	4	1800	0.106	sunrise
urea	227	mM	2022-03-17	H5	5133	500	TRUE	4	1800	0.121	sunrise
vancomycin	56	ug/mL	2022-03-17	H6	5133	100	TRUE	4	1800	0.115	sunrise
none	0		2022-03-17	H7	5146	0	TRUE	4	1800	0.114	sunrise
mecillinam	32	ng/mL	2022-03-17	H8	5146	60	TRUE	4	1800	0.117	sunrise
nickel(ii)	70	mM	2022-03-17	H9	5146	5	TRUE	4	1800	0.121	sunrise
novobiocin	37	ug/mL	2022-03-17	H10	5146	60	TRUE	4	1800	0.103	sunrise
urea	227	mM	2022-03-17	H11	5146	500	TRUE	4	1800	0.126	sunrise
vancomycin	56	ug/mL	2022-03-17	H12	5146	100	TRUE	4	1800	0.121	sunrise
none	0		2022-03-17	A1	5133	0	FALSE	1	2700	0.112	sunrise
mecillinam	32	ng/mL	2022-03-17	A2	5133	60	FALSE	1	2700	0.114	sunrise
nickel(ii)	70	mM	2022-03-17	A3	5133	5	FALSE	1	2700	0.111	sunrise
novobiocin	37	ug/mL	2022-03-17	A4	5133	60	FALSE	1	2700	0.11	sunrise
urea	227	mM	2022-03-17	A5	5133	500	FALSE	1	2700	0.112	sunrise
vancomycin	56	ug/mL	2022-03-17	A6	5133	100	FALSE	1	2700	0.115	sunrise
none	0		2022-03-17	A7	5146	0	FALSE	1	2700	0.109	sunrise
mecillinam	32	ng/mL	2022-03-17	A8	5146	60	FALSE	1	2700	0.108	sunrise
nickel(ii)	70	mM	2022-03-17	A9	5146	5	FALSE	1	2700	0.113	sunrise
novobiocin	37	ug/mL	2022-03-17	A10	5146	60	FALSE	1	2700	0.107	sunrise
urea	227	mM	2022-03-17	A11	5146	500	FALSE	1	2700	0.106	sunrise
vancomycin	56	ug/mL	2022-03-17	A12	5146	100	FALSE	1	2700	0.109	sunrise
none	0		2022-03-17	B1	5133	0	FALSE	2	2700	0.114	sunrise
mecillinam	32	ng/mL	2022-03-17	B2	5133	60	FALSE	2	2700	0.116	sunrise
nickel(ii)	70	mM	2022-03-17	B3	5133	5	FALSE	2	2700	0.112	sunrise
novobiocin	37	ug/mL	2022-03-17	B4	5133	60	FALSE	2	2700	0.113	sunrise
urea	227	mM	2022-03-17	B5	5133	500	FALSE	2	2700	0.109	sunrise
vancomycin	56	ug/mL	2022-03-17	B6	5133	100	FALSE	2	2700	0.112	sunrise
none	0		2022-03-17	B7	5146	0	FALSE	2	2700	0.108	sunrise
mecillinam	32	ng/mL	2022-03-17	B8	5146	60	FALSE	2	2700	0.109	sunrise
nickel(ii)	70	mM	2022-03-17	B9	5146	5	FALSE	2	2700	0.111	sunrise
novobiocin	37	ug/mL	2022-03-17	B10	5146	60	FALSE	2	2700	0.108	sunrise
urea	227	mM	2022-03-17	B11	5146	500	FALSE	2	2700	0.105	sunrise
vancomycin	56	ug/mL	2022-03-17	B12	5146	100	FALSE	2	2700	0.113	sunrise
