Chemical	cJMP	Unit	Date	Well	Organism	Dose	Induced	Rep	Time	OD600	Instrument
novobiocin	37	ug/mL	2022-03-09	H5	5111	30	TRUE	4	0	0.0954	icontrol
urea	227	mM	2022-03-09	H6	5111	750	TRUE	4	0	0.1005	icontrol
none	0		2022-03-09	H7	5142	NA	TRUE	4	0	0.0917	icontrol
deoxycholate	177	%w/v	2022-03-09	H8	5142	1	TRUE	4	0	0.0869	icontrol
mecillinam	32	ng/mL	2022-03-09	H9	5142	30	TRUE	4	0	0.0949	icontrol
nickel(ii)	70	mM	2022-03-09	H10	5142	1	TRUE	4	0	0.0921	icontrol
novobiocin	37	ug/mL	2022-03-09	H11	5142	30	TRUE	4	0	0.087	icontrol
urea	227	mM	2022-03-09	H12	5142	750	TRUE	4	0	0.0881	icontrol
none	0		2022-03-09	A1	5111	NA	FALSE	1	880	0.0862	icontrol
deoxycholate	177	%w/v	2022-03-09	A2	5111	1	FALSE	1	880	0.0854	icontrol
mecillinam	32	ng/mL	2022-03-09	A3	5111	30	FALSE	1	880	0.088	icontrol
nickel(ii)	70	mM	2022-03-09	A4	5111	1	FALSE	1	880	0.0873	icontrol
novobiocin	37	ug/mL	2022-03-09	A5	5111	30	FALSE	1	880	0.0879	icontrol
urea	227	mM	2022-03-09	A6	5111	750	FALSE	1	880	0.088	icontrol
none	0		2022-03-09	A7	5142	NA	FALSE	1	880	0.0849	icontrol
deoxycholate	177	%w/v	2022-03-09	A8	5142	1	FALSE	1	880	0.0864	icontrol
mecillinam	32	ng/mL	2022-03-09	A9	5142	30	FALSE	1	880	0.0845	icontrol
nickel(ii)	70	mM	2022-03-09	A10	5142	1	FALSE	1	880	0.0964	icontrol
novobiocin	37	ug/mL	2022-03-09	A11	5142	30	FALSE	1	880	0.0879	icontrol
urea	227	mM	2022-03-09	A12	5142	750	FALSE	1	880	0.0872	icontrol
none	0		2022-03-09	B1	5111	NA	FALSE	2	880	0.1039	icontrol
deoxycholate	177	%w/v	2022-03-09	B2	5111	1	FALSE	2	880	0.0884	icontrol
mecillinam	32	ng/mL	2022-03-09	B3	5111	30	FALSE	2	880	0.0849	icontrol
nickel(ii)	70	mM	2022-03-09	B4	5111	1	FALSE	2	880	0.0879	icontrol
novobiocin	37	ug/mL	2022-03-09	B5	5111	30	FALSE	2	880	0.0875	icontrol
urea	227	mM	2022-03-09	B6	5111	750	FALSE	2	880	0.0886	icontrol
none	0		2022-03-09	B7	5142	NA	FALSE	2	880	0.0861	icontrol
deoxycholate	177	%w/v	2022-03-09	B8	5142	1	FALSE	2	880	0.0885	icontrol
mecillinam	32	ng/mL	2022-03-09	B9	5142	30	FALSE	2	880	0.0858	icontrol
nickel(ii)	70	mM	2022-03-09	B10	5142	1	FALSE	2	880	0.0894	icontrol
novobiocin	37	ug/mL	2022-03-09	B11	5142	30	FALSE	2	880	0.0874	icontrol
urea	227	mM	2022-03-09	B12	5142	750	FALSE	2	880	0.0864	icontrol
none	0		2022-03-09	C1	5111	NA	FALSE	3	880	0.0857	icontrol
deoxycholate	177	%w/v	2022-03-09	C2	5111	1	FALSE	3	880	0.0898	icontrol
mecillinam	32	ng/mL	2022-03-09	C3	5111	30	FALSE	3	880	0.0872	icontrol
nickel(ii)	70	mM	2022-03-09	C4	5111	1	FALSE	3	880	0.0871	icontrol
novobiocin	37	ug/mL	2022-03-09	C5	5111	30	FALSE	3	880	0.0898	icontrol
urea	227	mM	2022-03-09	C6	5111	750	FALSE	3	880	0.0906	icontrol
none	0		2022-03-09	C7	5142	NA	FALSE	3	880	0.0876	icontrol
deoxycholate	177	%w/v	2022-03-09	C8	5142	1	FALSE	3	880	0.0854	icontrol
mecillinam	32	ng/mL	2022-03-09	C9	5142	30	FALSE	3	880	0.0867	icontrol
nickel(ii)	70	mM	2022-03-09	C10	5142	1	FALSE	3	880	0.088	icontrol
novobiocin	37	ug/mL	2022-03-09	C11	5142	30	FALSE	3	880	0.0863	icontrol
urea	227	mM	2022-03-09	C12	5142	750	FALSE	3	880	0.0869	icontrol
none	0		2022-03-09	D1	5111	NA	FALSE	4	880	0.0905	icontrol
deoxycholate	177	%w/v	2022-03-09	D2	5111	1	FALSE	4	880	0.0875	icontrol
mecillinam	32	ng/mL	2022-03-09	D3	5111	30	FALSE	4	880	0.0868	icontrol
nickel(ii)	70	mM	2022-03-09	D4	5111	1	FALSE	4	880	0.0882	icontrol
novobiocin	37	ug/mL	2022-03-09	D5	5111	30	FALSE	4	880	0.0984	icontrol
urea	227	mM	2022-03-09	D6	5111	750	FALSE	4	880	0.0876	icontrol
none	0		2022-03-09	D7	5142	NA	FALSE	4	880	0.0874	icontrol
deoxycholate	177	%w/v	2022-03-09	D8	5142	1	FALSE	4	880	0.0858	icontrol
mecillinam	32	ng/mL	2022-03-09	D9	5142	30	FALSE	4	880	0.0845	icontrol
nickel(ii)	70	mM	2022-03-09	D10	5142	1	FALSE	4	880	0.0859	icontrol
novobiocin	37	ug/mL	2022-03-09	D11	5142	30	FALSE	4	880	0.0864	icontrol
urea	227	mM	2022-03-09	D12	5142	750	FALSE	4	880	0.0861	icontrol
none	0		2022-03-09	E1	5111	NA	TRUE	1	880	0.0854	icontrol
deoxycholate	177	%w/v	2022-03-09	E2	5111	1	TRUE	1	880	0.0863	icontrol
mecillinam	32	ng/mL	2022-03-09	E3	5111	30	TRUE	1	880	0.0871	icontrol
nickel(ii)	70	mM	2022-03-09	E4	5111	1	TRUE	1	880	0.086	icontrol
novobiocin	37	ug/mL	2022-03-09	E5	5111	30	TRUE	1	880	0.0889	icontrol
urea	227	mM	2022-03-09	E6	5111	750	TRUE	1	880	0.1655	icontrol
none	0		2022-03-09	E7	5142	NA	TRUE	1	880	0.0856	icontrol
deoxycholate	177	%w/v	2022-03-09	E8	5142	1	TRUE	1	880	0.087	icontrol
mecillinam	32	ng/mL	2022-03-09	E9	5142	30	TRUE	1	880	0.0868	icontrol
nickel(ii)	70	mM	2022-03-09	E10	5142	1	TRUE	1	880	0.087	icontrol
novobiocin	37	ug/mL	2022-03-09	E11	5142	30	TRUE	1	880	0.0877	icontrol
urea	227	mM	2022-03-09	E12	5142	750	TRUE	1	880	0.0882	icontrol
none	0		2022-03-09	F1	5111	NA	TRUE	2	880	0.0887	icontrol
deoxycholate	177	%w/v	2022-03-09	F2	5111	1	TRUE	2	880	0.0879	icontrol
mecillinam	32	ng/mL	2022-03-09	F3	5111	30	TRUE	2	880	0.0864	icontrol
nickel(ii)	70	mM	2022-03-09	F4	5111	1	TRUE	2	880	0.0928	icontrol
novobiocin	37	ug/mL	2022-03-09	F5	5111	30	TRUE	2	880	0.0912	icontrol
urea	227	mM	2022-03-09	F6	5111	750	TRUE	2	880	0.0897	icontrol
none	0		2022-03-09	F7	5142	NA	TRUE	2	880	0.1004	icontrol
deoxycholate	177	%w/v	2022-03-09	F8	5142	1	TRUE	2	880	0.089	icontrol
mecillinam	32	ng/mL	2022-03-09	F9	5142	30	TRUE	2	880	0.0867	icontrol
nickel(ii)	70	mM	2022-03-09	F10	5142	1	TRUE	2	880	0.0853	icontrol
novobiocin	37	ug/mL	2022-03-09	F11	5142	30	TRUE	2	880	0.0898	icontrol
urea	227	mM	2022-03-09	F12	5142	750	TRUE	2	880	0.0883	icontrol
none	0		2022-03-09	G1	5111	NA	TRUE	3	880	0.0873	icontrol
deoxycholate	177	%w/v	2022-03-09	G2	5111	1	TRUE	3	880	0.0891	icontrol
mecillinam	32	ng/mL	2022-03-09	G3	5111	30	TRUE	3	880	0.0855	icontrol
nickel(ii)	70	mM	2022-03-09	G4	5111	1	TRUE	3	880	0.0856	icontrol
novobiocin	37	ug/mL	2022-03-09	G5	5111	30	TRUE	3	880	0.0892	icontrol
urea	227	mM	2022-03-09	G6	5111	750	TRUE	3	880	0.0875	icontrol
none	0		2022-03-09	G7	5142	NA	TRUE	3	880	0.0918	icontrol
deoxycholate	177	%w/v	2022-03-09	G8	5142	1	TRUE	3	880	0.0906	icontrol
mecillinam	32	ng/mL	2022-03-09	G9	5142	30	TRUE	3	880	0.0893	icontrol
nickel(ii)	70	mM	2022-03-09	G10	5142	1	TRUE	3	880	0.0876	icontrol
novobiocin	37	ug/mL	2022-03-09	G11	5142	30	TRUE	3	880	0.0886	icontrol
urea	227	mM	2022-03-09	G12	5142	750	TRUE	3	880	0.0868	icontrol
none	0		2022-03-09	H1	5111	NA	TRUE	4	880	0.0851	icontrol
deoxycholate	177	%w/v	2022-03-09	H2	5111	1	TRUE	4	880	0.0883	icontrol
mecillinam	32	ng/mL	2022-03-09	H3	5111	30	TRUE	4	880	0.0959	icontrol
nickel(ii)	70	mM	2022-03-09	H4	5111	1	TRUE	4	880	0.0959	icontrol
novobiocin	37	ug/mL	2022-03-09	H5	5111	30	TRUE	4	880	0.09	icontrol
urea	227	mM	2022-03-09	H6	5111	750	TRUE	4	880	0.0953	icontrol
none	0		2022-03-09	H7	5142	NA	TRUE	4	880	0.0946	icontrol
deoxycholate	177	%w/v	2022-03-09	H8	5142	1	TRUE	4	880	0.0875	icontrol
mecillinam	32	ng/mL	2022-03-09	H9	5142	30	TRUE	4	880	0.0938	icontrol
nickel(ii)	70	mM	2022-03-09	H10	5142	1	TRUE	4	880	0.0872	icontrol
novobiocin	37	ug/mL	2022-03-09	H11	5142	30	TRUE	4	880	0.0932	icontrol
urea	227	mM	2022-03-09	H12	5142	750	TRUE	4	880	0.0883	icontrol
none	0		2022-03-09	A1	5111	NA	FALSE	1	1759.9	0.0863	icontrol
deoxycholate	177	%w/v	2022-03-09	A2	5111	1	FALSE	1	1759.9	0.0861	icontrol
mecillinam	32	ng/mL	2022-03-09	A3	5111	30	FALSE	1	1759.9	0.0876	icontrol
nickel(ii)	70	mM	2022-03-09	A4	5111	1	FALSE	1	1759.9	0.0868	icontrol
novobiocin	37	ug/mL	2022-03-09	A5	5111	30	FALSE	1	1759.9	0.089	icontrol
urea	227	mM	2022-03-09	A6	5111	750	FALSE	1	1759.9	0.0878	icontrol
none	0		2022-03-09	A7	5142	NA	FALSE	1	1759.9	0.0858	icontrol
deoxycholate	177	%w/v	2022-03-09	A8	5142	1	FALSE	1	1759.9	0.0865	icontrol
mecillinam	32	ng/mL	2022-03-09	A9	5142	30	FALSE	1	1759.9	0.0853	icontrol
nickel(ii)	70	mM	2022-03-09	A10	5142	1	FALSE	1	1759.9	0.0968	icontrol
novobiocin	37	ug/mL	2022-03-09	A11	5142	30	FALSE	1	1759.9	0.0883	icontrol
urea	227	mM	2022-03-09	A12	5142	750	FALSE	1	1759.9	0.0866	icontrol
none	0		2022-03-09	B1	5111	NA	FALSE	2	1759.9	0.0845	icontrol
deoxycholate	177	%w/v	2022-03-09	B2	5111	1	FALSE	2	1759.9	0.0875	icontrol
mecillinam	32	ng/mL	2022-03-09	B3	5111	30	FALSE	2	1759.9	0.0867	icontrol
nickel(ii)	70	mM	2022-03-09	B4	5111	1	FALSE	2	1759.9	0.0887	icontrol
novobiocin	37	ug/mL	2022-03-09	B5	5111	30	FALSE	2	1759.9	0.1003	icontrol
urea	227	mM	2022-03-09	B6	5111	750	FALSE	2	1759.9	0.0885	icontrol
none	0		2022-03-09	B7	5142	NA	FALSE	2	1759.9	0.086	icontrol
deoxycholate	177	%w/v	2022-03-09	B8	5142	1	FALSE	2	1759.9	0.0898	icontrol
mecillinam	32	ng/mL	2022-03-09	B9	5142	30	FALSE	2	1759.9	0.085	icontrol
nickel(ii)	70	mM	2022-03-09	B10	5142	1	FALSE	2	1759.9	0.0887	icontrol
novobiocin	37	ug/mL	2022-03-09	B11	5142	30	FALSE	2	1759.9	0.0863	icontrol
urea	227	mM	2022-03-09	B12	5142	750	FALSE	2	1759.9	0.0862	icontrol
none	0		2022-03-09	C1	5111	NA	FALSE	3	1759.9	0.0858	icontrol
deoxycholate	177	%w/v	2022-03-09	C2	5111	1	FALSE	3	1759.9	0.0895	icontrol
mecillinam	32	ng/mL	2022-03-09	C3	5111	30	FALSE	3	1759.9	0.0873	icontrol
nickel(ii)	70	mM	2022-03-09	C4	5111	1	FALSE	3	1759.9	0.0868	icontrol
novobiocin	37	ug/mL	2022-03-09	C5	5111	30	FALSE	3	1759.9	0.0897	icontrol
urea	227	mM	2022-03-09	C6	5111	750	FALSE	3	1759.9	0.0902	icontrol
none	0		2022-03-09	C7	5142	NA	FALSE	3	1759.9	0.0879	icontrol
deoxycholate	177	%w/v	2022-03-09	C8	5142	1	FALSE	3	1759.9	0.0863	icontrol
mecillinam	32	ng/mL	2022-03-09	C9	5142	30	FALSE	3	1759.9	0.0868	icontrol
nickel(ii)	70	mM	2022-03-09	C10	5142	1	FALSE	3	1759.9	0.0876	icontrol
novobiocin	37	ug/mL	2022-03-09	C11	5142	30	FALSE	3	1759.9	0.0856	icontrol
urea	227	mM	2022-03-09	C12	5142	750	FALSE	3	1759.9	0.087	icontrol
none	0		2022-03-09	D1	5111	NA	FALSE	4	1759.9	0.0855	icontrol
deoxycholate	177	%w/v	2022-03-09	D2	5111	1	FALSE	4	1759.9	0.0876	icontrol
mecillinam	32	ng/mL	2022-03-09	D3	5111	30	FALSE	4	1759.9	0.0884	icontrol
nickel(ii)	70	mM	2022-03-09	D4	5111	1	FALSE	4	1759.9	0.0879	icontrol
novobiocin	37	ug/mL	2022-03-09	D5	5111	30	FALSE	4	1759.9	0.0873	icontrol
urea	227	mM	2022-03-09	D6	5111	750	FALSE	4	1759.9	0.0878	icontrol
none	0		2022-03-09	D7	5142	NA	FALSE	4	1759.9	0.0873	icontrol
deoxycholate	177	%w/v	2022-03-09	D8	5142	1	FALSE	4	1759.9	0.0865	icontrol
mecillinam	32	ng/mL	2022-03-09	D9	5142	30	FALSE	4	1759.9	0.0851	icontrol
nickel(ii)	70	mM	2022-03-09	D10	5142	1	FALSE	4	1759.9	0.0869	icontrol
novobiocin	37	ug/mL	2022-03-09	D11	5142	30	FALSE	4	1759.9	0.0859	icontrol
urea	227	mM	2022-03-09	D12	5142	750	FALSE	4	1759.9	0.0863	icontrol
none	0		2022-03-09	E1	5111	NA	TRUE	1	1759.9	0.0852	icontrol
deoxycholate	177	%w/v	2022-03-09	E2	5111	1	TRUE	1	1759.9	0.0865	icontrol
mecillinam	32	ng/mL	2022-03-09	E3	5111	30	TRUE	1	1759.9	0.0869	icontrol
nickel(ii)	70	mM	2022-03-09	E4	5111	1	TRUE	1	1759.9	0.0863	icontrol
novobiocin	37	ug/mL	2022-03-09	E5	5111	30	TRUE	1	1759.9	0.0888	icontrol
urea	227	mM	2022-03-09	E6	5111	750	TRUE	1	1759.9	0.1703	icontrol
none	0		2022-03-09	E7	5142	NA	TRUE	1	1759.9	0.0861	icontrol
deoxycholate	177	%w/v	2022-03-09	E8	5142	1	TRUE	1	1759.9	0.0875	icontrol
mecillinam	32	ng/mL	2022-03-09	E9	5142	30	TRUE	1	1759.9	0.0859	icontrol
nickel(ii)	70	mM	2022-03-09	E10	5142	1	TRUE	1	1759.9	0.0869	icontrol
novobiocin	37	ug/mL	2022-03-09	E11	5142	30	TRUE	1	1759.9	0.0877	icontrol
urea	227	mM	2022-03-09	E12	5142	750	TRUE	1	1759.9	0.0876	icontrol
none	0		2022-03-09	F1	5111	NA	TRUE	2	1759.9	0.0897	icontrol
deoxycholate	177	%w/v	2022-03-09	F2	5111	1	TRUE	2	1759.9	0.0876	icontrol
mecillinam	32	ng/mL	2022-03-09	F3	5111	30	TRUE	2	1759.9	0.0971	icontrol
nickel(ii)	70	mM	2022-03-09	F4	5111	1	TRUE	2	1759.9	0.0895	icontrol
novobiocin	37	ug/mL	2022-03-09	F5	5111	30	TRUE	2	1759.9	0.0885	icontrol
urea	227	mM	2022-03-09	F6	5111	750	TRUE	2	1759.9	0.1014	icontrol
none	0		2022-03-09	F7	5142	NA	TRUE	2	1759.9	0.0942	icontrol
deoxycholate	177	%w/v	2022-03-09	F8	5142	1	TRUE	2	1759.9	0.0882	icontrol
mecillinam	32	ng/mL	2022-03-09	F9	5142	30	TRUE	2	1759.9	0.0865	icontrol
nickel(ii)	70	mM	2022-03-09	F10	5142	1	TRUE	2	1759.9	0.0863	icontrol
novobiocin	37	ug/mL	2022-03-09	F11	5142	30	TRUE	2	1759.9	0.0884	icontrol
urea	227	mM	2022-03-09	F12	5142	750	TRUE	2	1759.9	0.0898	icontrol
none	0		2022-03-09	G1	5111	NA	TRUE	3	1759.9	0.0877	icontrol
deoxycholate	177	%w/v	2022-03-09	G2	5111	1	TRUE	3	1759.9	0.0878	icontrol
mecillinam	32	ng/mL	2022-03-09	G3	5111	30	TRUE	3	1759.9	0.0869	icontrol
nickel(ii)	70	mM	2022-03-09	G4	5111	1	TRUE	3	1759.9	0.0859	icontrol
novobiocin	37	ug/mL	2022-03-09	G5	5111	30	TRUE	3	1759.9	0.0885	icontrol
urea	227	mM	2022-03-09	G6	5111	750	TRUE	3	1759.9	0.0867	icontrol
none	0		2022-03-09	G7	5142	NA	TRUE	3	1759.9	0.0947	icontrol
deoxycholate	177	%w/v	2022-03-09	G8	5142	1	TRUE	3	1759.9	0.0891	icontrol
mecillinam	32	ng/mL	2022-03-09	G9	5142	30	TRUE	3	1759.9	0.0894	icontrol
nickel(ii)	70	mM	2022-03-09	G10	5142	1	TRUE	3	1759.9	0.0873	icontrol
novobiocin	37	ug/mL	2022-03-09	G11	5142	30	TRUE	3	1759.9	0.0888	icontrol
urea	227	mM	2022-03-09	G12	5142	750	TRUE	3	1759.9	0.0867	icontrol
none	0		2022-03-09	H1	5111	NA	TRUE	4	1759.9	0.0858	icontrol
deoxycholate	177	%w/v	2022-03-09	H2	5111	1	TRUE	4	1759.9	0.0854	icontrol
mecillinam	32	ng/mL	2022-03-09	H3	5111	30	TRUE	4	1759.9	0.0916	icontrol
nickel(ii)	70	mM	2022-03-09	H4	5111	1	TRUE	4	1759.9	0.0923	icontrol
novobiocin	37	ug/mL	2022-03-09	H5	5111	30	TRUE	4	1759.9	0.0908	icontrol
urea	227	mM	2022-03-09	H6	5111	750	TRUE	4	1759.9	0.091	icontrol
none	0		2022-03-09	H7	5142	NA	TRUE	4	1759.9	0.0954	icontrol
deoxycholate	177	%w/v	2022-03-09	H8	5142	1	TRUE	4	1759.9	0.0862	icontrol
mecillinam	32	ng/mL	2022-03-09	H9	5142	30	TRUE	4	1759.9	0.1017	icontrol
nickel(ii)	70	mM	2022-03-09	H10	5142	1	TRUE	4	1759.9	0.0873	icontrol
novobiocin	37	ug/mL	2022-03-09	H11	5142	30	TRUE	4	1759.9	0.087	icontrol
urea	227	mM	2022-03-09	H12	5142	750	TRUE	4	1759.9	0.0882	icontrol
none	0		2022-03-09	A1	5111	NA	FALSE	1	2639.9	0.0865	icontrol
deoxycholate	177	%w/v	2022-03-09	A2	5111	1	FALSE	1	2639.9	0.0848	icontrol
mecillinam	32	ng/mL	2022-03-09	A3	5111	30	FALSE	1	2639.9	0.0873	icontrol
nickel(ii)	70	mM	2022-03-09	A4	5111	1	FALSE	1	2639.9	0.0865	icontrol
novobiocin	37	ug/mL	2022-03-09	A5	5111	30	FALSE	1	2639.9	0.0888	icontrol
urea	227	mM	2022-03-09	A6	5111	750	FALSE	1	2639.9	0.0874	icontrol
none	0		2022-03-09	A7	5142	NA	FALSE	1	2639.9	0.0856	icontrol
deoxycholate	177	%w/v	2022-03-09	A8	5142	1	FALSE	1	2639.9	0.0869	icontrol
mecillinam	32	ng/mL	2022-03-09	A9	5142	30	FALSE	1	2639.9	0.0849	icontrol
nickel(ii)	70	mM	2022-03-09	A10	5142	1	FALSE	1	2639.9	0.0945	icontrol
novobiocin	37	ug/mL	2022-03-09	A11	5142	30	FALSE	1	2639.9	0.0902	icontrol
urea	227	mM	2022-03-09	A12	5142	750	FALSE	1	2639.9	0.0874	icontrol
