description	gene
Ribonucleoprotein complex GO:1990904	rplK
Ribonucleoprotein complex GO:1990904	rplA
Ribonucleoprotein complex GO:1990904	rplJ
Ribonucleoprotein complex GO:1990904	rplL
Ribonucleoprotein complex GO:1990904	rpsF
Ribonucleoprotein complex GO:1990904	rpsR
Ribonucleoprotein complex GO:1990904	rplI
Ribosomal subunit GO:0044391	rpsT
Ribosomal subunit GO:0044391	rpsB
Ribosomal subunit GO:0044391	rpsA
Ribosomal subunit GO:0044391	rplT
Ribosomal subunit GO:0044391	rpmI
Ribosomal subunit GO:0044391	rplY
Ribosomal subunit GO:0044391	rplS
Ribosomal subunit GO:0044391	rpsP
Ribosomal subunit GO:0044391	rpsU
Ribosomal subunit GO:0044391	rpsO
Ribosomal subunit GO:0044391	rpmA
Ribosomal subunit GO:0044391	rplU
Ribosomal subunit GO:0044391	rpsI
Ribosomal subunit GO:0044391	rplM
Ribosomal subunit GO:0044391	rplQ
Ribosomal subunit GO:0044391	rpsD
Ribosomal subunit GO:0044391	rpsK
Ribosomal subunit GO:0044391	rpsM
Ribosomal subunit GO:0044391	rpmJ
Ribosomal subunit GO:0044391	rpmD
Ribosomal subunit GO:0044391	rplR
Ribosomal subunit GO:0044391	rplF
Ribosomal subunit GO:0044391	rpsH
Ribosomal subunit GO:0044391	rpsN
Ribosomal subunit GO:0044391	rplX
Ribosomal subunit GO:0044391	rplN
Ribosomal subunit GO:0044391	rpsQ
Ribosomal subunit GO:0044391	rpmC
Ribosomal subunit GO:0044391	rplP
Ribosomal subunit GO:0044391	rpsC
Ribosomal subunit GO:0044391	rplV
Ribosomal subunit GO:0044391	rpsS
Ribosomal subunit GO:0044391	rplB
Ribosomal subunit GO:0044391	rplD
Ribosomal subunit GO:0044391	rplC
Ribosomal subunit GO:0044391	rpsJ
Ribosomal subunit GO:0044391	rpsG
Ribosomal subunit GO:0044391	rpsL
Ribosomal subunit GO:0044391	rpmG
Ribosomal subunit GO:0044391	rpmB
Ribosomal subunit GO:0044391	rpmH
Ribosomal subunit GO:0044391	rpmE
Ribosomal subunit GO:0044391	rplK
Ribosomal subunit GO:0044391	rplA
Ribosomal subunit GO:0044391	rplJ
Ribosomal subunit GO:0044391	rplL
Ribosomal subunit GO:0044391	rpsF
Ribosomal subunit GO:0044391	rpsR
Ribosomal subunit GO:0044391	rplI
Cytoplasmic translation GO:0002181	rpsT
Cytoplasmic translation GO:0002181	rpsB
Cytoplasmic translation GO:0002181	rpsA
Cytoplasmic translation GO:0002181	rplT
Cytoplasmic translation GO:0002181	rpmI
Cytoplasmic translation GO:0002181	rplY
Cytoplasmic translation GO:0002181	rplS
Cytoplasmic translation GO:0002181	rpsP
Cytoplasmic translation GO:0002181	rpsU
Cytoplasmic translation GO:0002181	rpsO
Cytoplasmic translation GO:0002181	rpmA
Cytoplasmic translation GO:0002181	rplU
Cytoplasmic translation GO:0002181	rpsI
Cytoplasmic translation GO:0002181	rplM
Cytoplasmic translation GO:0002181	rplQ
Cytoplasmic translation GO:0002181	rpsD
Cytoplasmic translation GO:0002181	rpsK
Cytoplasmic translation GO:0002181	rpsM
Cytoplasmic translation GO:0002181	rpmJ
Cytoplasmic translation GO:0002181	rpmD
Cytoplasmic translation GO:0002181	rplR
Cytoplasmic translation GO:0002181	rplF
Cytoplasmic translation GO:0002181	rpsH
Cytoplasmic translation GO:0002181	rpsN
Cytoplasmic translation GO:0002181	rplX
Cytoplasmic translation GO:0002181	rplN
Cytoplasmic translation GO:0002181	rpsQ
Cytoplasmic translation GO:0002181	rpmC
Cytoplasmic translation GO:0002181	rplP
Cytoplasmic translation GO:0002181	rpsC
Cytoplasmic translation GO:0002181	rplV
Cytoplasmic translation GO:0002181	rpsS
Cytoplasmic translation GO:0002181	rplB
Cytoplasmic translation GO:0002181	rplD
Cytoplasmic translation GO:0002181	rplC
Cytoplasmic translation GO:0002181	rpsJ
Cytoplasmic translation GO:0002181	rpsG
Cytoplasmic translation GO:0002181	rpsL
Cytoplasmic translation GO:0002181	rpmG
Cytoplasmic translation GO:0002181	rpmB
Cytoplasmic translation GO:0002181	rpmH
Cytoplasmic translation GO:0002181	rpmE
Cytoplasmic translation GO:0002181	rplK
Cytoplasmic translation GO:0002181	rplA
Cytoplasmic translation GO:0002181	rplJ
Cytoplasmic translation GO:0002181	rplL
Cytoplasmic translation GO:0002181	rpsF
Cytoplasmic translation GO:0002181	rpsR
Cytoplasmic translation GO:0002181	rplI
Structural constituent of ribosome GO:0003735	rpsT
Structural constituent of ribosome GO:0003735	rpsB
Structural constituent of ribosome GO:0003735	rpsA
Structural constituent of ribosome GO:0003735	rplT
Structural constituent of ribosome GO:0003735	rpmI
Structural constituent of ribosome GO:0003735	rplY
Structural constituent of ribosome GO:0003735	rplS
Structural constituent of ribosome GO:0003735	rpsP
Structural constituent of ribosome GO:0003735	rpsU
Structural constituent of ribosome GO:0003735	rpsO
Structural constituent of ribosome GO:0003735	rpmA
Structural constituent of ribosome GO:0003735	rplU
Structural constituent of ribosome GO:0003735	rpsI
Structural constituent of ribosome GO:0003735	rplM
Structural constituent of ribosome GO:0003735	rplQ
Structural constituent of ribosome GO:0003735	rpsD
Structural constituent of ribosome GO:0003735	rpsK
Structural constituent of ribosome GO:0003735	rpsM
Structural constituent of ribosome GO:0003735	rpmJ
Structural constituent of ribosome GO:0003735	rpmD
Structural constituent of ribosome GO:0003735	rplR
Structural constituent of ribosome GO:0003735	rplF
Structural constituent of ribosome GO:0003735	rpsH
Structural constituent of ribosome GO:0003735	rpsN
Structural constituent of ribosome GO:0003735	rplX
Structural constituent of ribosome GO:0003735	rplN
Structural constituent of ribosome GO:0003735	rpsQ
Structural constituent of ribosome GO:0003735	rpmC
Structural constituent of ribosome GO:0003735	rplP
Structural constituent of ribosome GO:0003735	rpsC
Structural constituent of ribosome GO:0003735	rplV
Structural constituent of ribosome GO:0003735	rpsS
Structural constituent of ribosome GO:0003735	rplB
Structural constituent of ribosome GO:0003735	rplD
Structural constituent of ribosome GO:0003735	rplC
Structural constituent of ribosome GO:0003735	rpsJ
Structural constituent of ribosome GO:0003735	rpsG
Structural constituent of ribosome GO:0003735	rpsL
Structural constituent of ribosome GO:0003735	rpmG
Structural constituent of ribosome GO:0003735	rpmB
Structural constituent of ribosome GO:0003735	rpmH
Structural constituent of ribosome GO:0003735	rpmE
Structural constituent of ribosome GO:0003735	rplK
Structural constituent of ribosome GO:0003735	rplA
Structural constituent of ribosome GO:0003735	rplJ
Structural constituent of ribosome GO:0003735	rplL
Structural constituent of ribosome GO:0003735	rpsF
Structural constituent of ribosome GO:0003735	rpsR
Structural constituent of ribosome GO:0003735	rplI
Cytosolic ribosome GO:0022626	rpsT
Cytosolic ribosome GO:0022626	rpsB
Cytosolic ribosome GO:0022626	rpsA
Cytosolic ribosome GO:0022626	rplT
Cytosolic ribosome GO:0022626	rpmI
Cytosolic ribosome GO:0022626	rplY
Cytosolic ribosome GO:0022626	rplS
Cytosolic ribosome GO:0022626	rpsP
Cytosolic ribosome GO:0022626	rpsU
Cytosolic ribosome GO:0022626	rpsO
Cytosolic ribosome GO:0022626	rpmA
Cytosolic ribosome GO:0022626	rplU
Cytosolic ribosome GO:0022626	rpsI
Cytosolic ribosome GO:0022626	rplM
Cytosolic ribosome GO:0022626	rplQ
Cytosolic ribosome GO:0022626	rpsD
Cytosolic ribosome GO:0022626	rpsK
Cytosolic ribosome GO:0022626	rpsM
Cytosolic ribosome GO:0022626	rpmJ
Cytosolic ribosome GO:0022626	rpmD
Cytosolic ribosome GO:0022626	rplR
Cytosolic ribosome GO:0022626	rplF
Cytosolic ribosome GO:0022626	rpsH
Cytosolic ribosome GO:0022626	rpsN
Cytosolic ribosome GO:0022626	rplX
Cytosolic ribosome GO:0022626	rplN
Cytosolic ribosome GO:0022626	rpsQ
Cytosolic ribosome GO:0022626	rpmC
Cytosolic ribosome GO:0022626	rplP
Cytosolic ribosome GO:0022626	rpsC
Cytosolic ribosome GO:0022626	rplV
Cytosolic ribosome GO:0022626	rpsS
Cytosolic ribosome GO:0022626	rplB
Cytosolic ribosome GO:0022626	rplD
Cytosolic ribosome GO:0022626	rplC
Cytosolic ribosome GO:0022626	rpsJ
Cytosolic ribosome GO:0022626	rpsG
Cytosolic ribosome GO:0022626	rpsL
Cytosolic ribosome GO:0022626	rpmG
Cytosolic ribosome GO:0022626	rpmB
Cytosolic ribosome GO:0022626	rpmH
Cytosolic ribosome GO:0022626	rpmE
Cytosolic ribosome GO:0022626	rplK
Cytosolic ribosome GO:0022626	rplA
Cytosolic ribosome GO:0022626	rplJ
Cytosolic ribosome GO:0022626	rplL
Cytosolic ribosome GO:0022626	rpsF
Cytosolic ribosome GO:0022626	rpsR
Cytosolic ribosome GO:0022626	rplI
Ribosome GO:0005840	rpsT
Ribosome GO:0005840	rpsB
Ribosome GO:0005840	rpsA
Ribosome GO:0005840	rplT
Ribosome GO:0005840	rpmI
Ribosome GO:0005840	rplY
Ribosome GO:0005840	rplS
Ribosome GO:0005840	rimM
Ribosome GO:0005840	rpsP
Ribosome GO:0005840	rpsU
Ribosome GO:0005840	rpsO
Ribosome GO:0005840	rpmA
Ribosome GO:0005840	rplU
Ribosome GO:0005840	rpsI
Ribosome GO:0005840	rplM
Ribosome GO:0005840	rplQ
Ribosome GO:0005840	rpsD
Ribosome GO:0005840	rpsK
Ribosome GO:0005840	rpsM
Ribosome GO:0005840	rpmJ
Ribosome GO:0005840	rpmD
Ribosome GO:0005840	rplR
Ribosome GO:0005840	rplF
Ribosome GO:0005840	rpsH
Ribosome GO:0005840	rpsN
Ribosome GO:0005840	rplX
Ribosome GO:0005840	rplN
Ribosome GO:0005840	rpsQ
Ribosome GO:0005840	rpmC
Ribosome GO:0005840	rplP
Ribosome GO:0005840	rpsC
Ribosome GO:0005840	rplV
Ribosome GO:0005840	rpsS
Ribosome GO:0005840	rplB
Ribosome GO:0005840	rplD
Ribosome GO:0005840	rplC
Ribosome GO:0005840	rpsJ
Ribosome GO:0005840	rpsG
Ribosome GO:0005840	rpsL
Ribosome GO:0005840	rpmG
Ribosome GO:0005840	rpmB
Ribosome GO:0005840	rpmH
Ribosome GO:0005840	rpmE
Ribosome GO:0005840	rplK
Ribosome GO:0005840	rplA
Ribosome GO:0005840	rplJ
Ribosome GO:0005840	rplL
Ribosome GO:0005840	rpsF
Ribosome GO:0005840	rpsR
Ribosome GO:0005840	rplI
Translation GO:0006412	rpsT
Translation GO:0006412	rpsB
Translation GO:0006412	tsf
Translation GO:0006412	proS
Translation GO:0006412	cysS
Translation GO:0006412	leuS
Translation GO:0006412	glnS
Translation GO:0006412	infA
Translation GO:0006412	serS
Translation GO:0006412	rpsA
Translation GO:0006412	asnS
Translation GO:0006412	prfA
Translation GO:0006412	tyrS
Translation GO:0006412	pheT
Translation GO:0006412	pheS
Translation GO:0006412	rplT
Translation GO:0006412	rpmI
Translation GO:0006412	infC
Translation GO:0006412	thrS
Translation GO:0006412	aspS
Translation GO:0006412	argS
Translation GO:0006412	rplY
Translation GO:0006412	gltX
Translation GO:0006412	hisS
Translation GO:0006412	rplS
Translation GO:0006412	rpsP
Translation GO:0006412	alaS
Translation GO:0006412	prfB
Translation GO:0006412	rpsU
Translation GO:0006412	rpsO
Translation GO:0006412	infB
Translation GO:0006412	rimP
Translation GO:0006412	rpmA
Translation GO:0006412	rplU
Translation GO:0006412	rpsI
Translation GO:0006412	rplM
Translation GO:0006412	rplQ
Translation GO:0006412	rpsD
Translation GO:0006412	rpsK
Translation GO:0006412	rpsM
Translation GO:0006412	rpmJ
Translation GO:0006412	rpmD
Translation GO:0006412	rplR
Translation GO:0006412	rplF
Translation GO:0006412	rpsH
Translation GO:0006412	rpsN
Translation GO:0006412	rplX
Translation GO:0006412	rplN
Translation GO:0006412	rpsQ
Translation GO:0006412	rpmC
Translation GO:0006412	rplP
Translation GO:0006412	rpsC
Translation GO:0006412	rplV
Translation GO:0006412	rpsS
Translation GO:0006412	rplB
Translation GO:0006412	rplD
Translation GO:0006412	rplC
Translation GO:0006412	rpsJ
Translation GO:0006412	fusA
Translation GO:0006412	rpsG
Translation GO:0006412	rpsL
Translation GO:0006412	trpS
Translation GO:0006412	glyS
Translation GO:0006412	glyQ
Translation GO:0006412	rpmG
Translation GO:0006412	rpmB
Translation GO:0006412	rpmH
Translation GO:0006412	rpmE
Translation GO:0006412	rplK
Translation GO:0006412	rplA
Translation GO:0006412	rplJ
Translation GO:0006412	rplL
Translation GO:0006412	rpsF
Translation GO:0006412	rpsR
Translation GO:0006412	rplI
Translation GO:0006412	valS
Cytosolic large ribosomal subunit GO:0022625	rplT
Cytosolic large ribosomal subunit GO:0022625	rpmI
Cytosolic large ribosomal subunit GO:0022625	rplY
Cytosolic large ribosomal subunit GO:0022625	rplS
Cytosolic large ribosomal subunit GO:0022625	rpmA
Cytosolic large ribosomal subunit GO:0022625	rplU
Cytosolic large ribosomal subunit GO:0022625	rplM
Cytosolic large ribosomal subunit GO:0022625	rplQ
Cytosolic large ribosomal subunit GO:0022625	rpmJ
Cytosolic large ribosomal subunit GO:0022625	rpmD
Cytosolic large ribosomal subunit GO:0022625	rplR
Cytosolic large ribosomal subunit GO:0022625	rplF
Cytosolic large ribosomal subunit GO:0022625	rplX
Cytosolic large ribosomal subunit GO:0022625	rplN
Cytosolic large ribosomal subunit GO:0022625	rpmC
Cytosolic large ribosomal subunit GO:0022625	rplP
Cytosolic large ribosomal subunit GO:0022625	rplV
Cytosolic large ribosomal subunit GO:0022625	rplB
Cytosolic large ribosomal subunit GO:0022625	rplD
Cytosolic large ribosomal subunit GO:0022625	rplC
Cytosolic large ribosomal subunit GO:0022625	rpmG
Cytosolic large ribosomal subunit GO:0022625	rpmB
Cytosolic large ribosomal subunit GO:0022625	rpmH
Cytosolic large ribosomal subunit GO:0022625	rpmE
Cytosolic large ribosomal subunit GO:0022625	rplK
Cytosolic large ribosomal subunit GO:0022625	rplA
Cytosolic large ribosomal subunit GO:0022625	rplJ
Cytosolic large ribosomal subunit GO:0022625	rplL
Cytosolic large ribosomal subunit GO:0022625	rplI
Ribosome assembly GO:0042255	rpsT
Ribosome assembly GO:0042255	rpsB
Ribosome assembly GO:0042255	rpsA
Ribosome assembly GO:0042255	rplT
Ribosome assembly GO:0042255	rplY
Ribosome assembly GO:0042255	der
Ribosome assembly GO:0042255	era
Ribosome assembly GO:0042255	rplS
Ribosome assembly GO:0042255	rimM
Ribosome assembly GO:0042255	rpsP
Ribosome assembly GO:0042255	rpsU
Ribosome assembly GO:0042255	rpsO
Ribosome assembly GO:0042255	rimP
Ribosome assembly GO:0042255	rlmE
Ribosome assembly GO:0042255	obgE
Ribosome assembly GO:0042255	rpmA
Ribosome assembly GO:0042255	rplQ
Ribosome assembly GO:0042255	rpsD
Ribosome assembly GO:0042255	rpsK
Ribosome assembly GO:0042255	rpmD
Ribosome assembly GO:0042255	rplF
Ribosome assembly GO:0042255	rpsH
Ribosome assembly GO:0042255	rpsN
Ribosome assembly GO:0042255	rplX
Ribosome assembly GO:0042255	rpsQ
Ribosome assembly GO:0042255	rpmC
Ribosome assembly GO:0042255	rplP
Ribosome assembly GO:0042255	rpsC
Ribosome assembly GO:0042255	rplV
Ribosome assembly GO:0042255	rpsS
Ribosome assembly GO:0042255	rplB
Ribosome assembly GO:0042255	rplD
Ribosome assembly GO:0042255	rplC
Ribosome assembly GO:0042255	rpsG
Ribosome assembly GO:0042255	rpmG
Ribosome assembly GO:0042255	rpmB
Ribosome assembly GO:0042255	rplK
Ribosome assembly GO:0042255	rplA
Ribosome assembly GO:0042255	rsgA
Structural molecule activity GO:0005198	rpsT
Structural molecule activity GO:0005198	rpsB
Structural molecule activity GO:0005198	rpsA
Structural molecule activity GO:0005198	rplT
Structural molecule activity GO:0005198	rpmI
Structural molecule activity GO:0005198	rplY
Structural molecule activity GO:0005198	rplS
Structural molecule activity GO:0005198	rpsP
Structural molecule activity GO:0005198	rpsU
Structural molecule activity GO:0005198	rpsO
Structural molecule activity GO:0005198	rpmA
Structural molecule activity GO:0005198	rplU
Structural molecule activity GO:0005198	rpsI
Structural molecule activity GO:0005198	rplM
Structural molecule activity GO:0005198	rplQ
Structural molecule activity GO:0005198	rpsD
Structural molecule activity GO:0005198	rpsK
Structural molecule activity GO:0005198	rpsM
Structural molecule activity GO:0005198	rpmJ
Structural molecule activity GO:0005198	rpmD
Structural molecule activity GO:0005198	rplR
Structural molecule activity GO:0005198	rplF
Structural molecule activity GO:0005198	rpsH
Structural molecule activity GO:0005198	rpsN
Structural molecule activity GO:0005198	rplX
Structural molecule activity GO:0005198	rplN
Structural molecule activity GO:0005198	rpsQ
Structural molecule activity GO:0005198	rpmC
Structural molecule activity GO:0005198	rplP
Structural molecule activity GO:0005198	rpsC
Structural molecule activity GO:0005198	rplV
Structural molecule activity GO:0005198	rpsS
Structural molecule activity GO:0005198	rplB
Structural molecule activity GO:0005198	rplD
Structural molecule activity GO:0005198	rplC
Structural molecule activity GO:0005198	rpsJ
Structural molecule activity GO:0005198	rpsG
Structural molecule activity GO:0005198	rpsL
Structural molecule activity GO:0005198	rpmG
Structural molecule activity GO:0005198	rpmB
Structural molecule activity GO:0005198	rpmH
Structural molecule activity GO:0005198	rpmE
Structural molecule activity GO:0005198	rplK
Structural molecule activity GO:0005198	rplA
Structural molecule activity GO:0005198	rplJ
Structural molecule activity GO:0005198	rplL
Structural molecule activity GO:0005198	rpsF
Structural molecule activity GO:0005198	rpsR
Structural molecule activity GO:0005198	rplI
rRNA binding GO:0019843	rpsT
rRNA binding GO:0019843	infA
rRNA binding GO:0019843	rplT
rRNA binding GO:0019843	rplY
rRNA binding GO:0019843	era
rRNA binding GO:0019843	rnc
rRNA binding GO:0019843	rplS
rRNA binding GO:0019843	rimM
rRNA binding GO:0019843	rpsU
rRNA binding GO:0019843	rpsO
rRNA binding GO:0019843	obgE
rRNA binding GO:0019843	rpmA
rRNA binding GO:0019843	rplU
rRNA binding GO:0019843	rplM
rRNA binding GO:0019843	rpsD
rRNA binding GO:0019843	rpsK
rRNA binding GO:0019843	rpsM
rRNA binding GO:0019843	rplR
rRNA binding GO:0019843	rplF
rRNA binding GO:0019843	rpsH
rRNA binding GO:0019843	rpsN
rRNA binding GO:0019843	rplX
rRNA binding GO:0019843	rplN
rRNA binding GO:0019843	rpsQ
rRNA binding GO:0019843	rpmC
rRNA binding GO:0019843	rplP
rRNA binding GO:0019843	rpsC
rRNA binding GO:0019843	rplV
rRNA binding GO:0019843	rpsS
rRNA binding GO:0019843	rplB
rRNA binding GO:0019843	rplD
rRNA binding GO:0019843	rplC
rRNA binding GO:0019843	rpsG
rRNA binding GO:0019843	rpsL
rRNA binding GO:0019843	rpmB
rRNA binding GO:0019843	rpmE
rRNA binding GO:0019843	rplK
rRNA binding GO:0019843	rplA
rRNA binding GO:0019843	rplJ
rRNA binding GO:0019843	rsgA
rRNA binding GO:0019843	rpsF
rRNA binding GO:0019843	rpsR
rRNA binding GO:0019843	rplI
Ribonucleoprotein complex subunit organization GO:0071826	rpsT
Ribonucleoprotein complex subunit organization GO:0071826	rpsB
Ribonucleoprotein complex subunit organization GO:0071826	rpsA
Ribonucleoprotein complex subunit organization GO:0071826	rplT
Ribonucleoprotein complex subunit organization GO:0071826	rplY
Ribonucleoprotein complex subunit organization GO:0071826	der
Ribonucleoprotein complex subunit organization GO:0071826	era
Ribonucleoprotein complex subunit organization GO:0071826	rplS
Ribonucleoprotein complex subunit organization GO:0071826	rimM
Ribonucleoprotein complex subunit organization GO:0071826	rpsP
Ribonucleoprotein complex subunit organization GO:0071826	rpsU
Ribonucleoprotein complex subunit organization GO:0071826	rpsO
Ribonucleoprotein complex subunit organization GO:0071826	rimP
Ribonucleoprotein complex subunit organization GO:0071826	rlmE
Ribonucleoprotein complex subunit organization GO:0071826	rpmA
Ribonucleoprotein complex subunit organization GO:0071826	rplQ
Ribonucleoprotein complex subunit organization GO:0071826	rpsD
Ribonucleoprotein complex subunit organization GO:0071826	rpsK
Ribonucleoprotein complex subunit organization GO:0071826	rpmD
Ribonucleoprotein complex subunit organization GO:0071826	rplF
Ribonucleoprotein complex subunit organization GO:0071826	rpsH
Ribonucleoprotein complex subunit organization GO:0071826	rpsN
Ribonucleoprotein complex subunit organization GO:0071826	rplX
Ribonucleoprotein complex subunit organization GO:0071826	rpsQ
Ribonucleoprotein complex subunit organization GO:0071826	rpmC
Ribonucleoprotein complex subunit organization GO:0071826	rplP
Ribonucleoprotein complex subunit organization GO:0071826	rpsC
Ribonucleoprotein complex subunit organization GO:0071826	rplV
Ribonucleoprotein complex subunit organization GO:0071826	rpsS
Ribonucleoprotein complex subunit organization GO:0071826	rplB
Ribonucleoprotein complex subunit organization GO:0071826	rplC
Ribonucleoprotein complex subunit organization GO:0071826	rpsG
Ribonucleoprotein complex subunit organization GO:0071826	rpmG
Ribonucleoprotein complex subunit organization GO:0071826	rpmB
Ribonucleoprotein complex subunit organization GO:0071826	rplK
Ribonucleoprotein complex subunit organization GO:0071826	rplA
Ribonucleoprotein complex subunit organization GO:0071826	rsgA
Cytosolic small ribosomal subunit GO:0022627	rpsT
Cytosolic small ribosomal subunit GO:0022627	rpsB
Cytosolic small ribosomal subunit GO:0022627	rpsA
Cytosolic small ribosomal subunit GO:0022627	rpsP
Cytosolic small ribosomal subunit GO:0022627	rpsU
Cytosolic small ribosomal subunit GO:0022627	rpsO
Cytosolic small ribosomal subunit GO:0022627	rpsI
Cytosolic small ribosomal subunit GO:0022627	rpsD
Cytosolic small ribosomal subunit GO:0022627	rpsK
Cytosolic small ribosomal subunit GO:0022627	rpsM
Cytosolic small ribosomal subunit GO:0022627	rpsH
Cytosolic small ribosomal subunit GO:0022627	rpsN
Cytosolic small ribosomal subunit GO:0022627	rpsQ
Cytosolic small ribosomal subunit GO:0022627	rpsC
Cytosolic small ribosomal subunit GO:0022627	rpsS
Cytosolic small ribosomal subunit GO:0022627	rpsJ
Cytosolic small ribosomal subunit GO:0022627	rpsG
Cytosolic small ribosomal subunit GO:0022627	rpsL
Cytosolic small ribosomal subunit GO:0022627	rpsF
Cytosolic small ribosomal subunit GO:0022627	rpsR
Peptide biosynthetic process GO:0043043	rpsT
Peptide biosynthetic process GO:0043043	rpsB
Peptide biosynthetic process GO:0043043	tsf
Peptide biosynthetic process GO:0043043	proS
Peptide biosynthetic process GO:0043043	cysS
Peptide biosynthetic process GO:0043043	leuS
Peptide biosynthetic process GO:0043043	glnS
Peptide biosynthetic process GO:0043043	infA
Peptide biosynthetic process GO:0043043	serS
Peptide biosynthetic process GO:0043043	rpsA
Peptide biosynthetic process GO:0043043	asnS
Peptide biosynthetic process GO:0043043	prfA
Peptide biosynthetic process GO:0043043	tyrS
Peptide biosynthetic process GO:0043043	pheT
Peptide biosynthetic process GO:0043043	pheS
Peptide biosynthetic process GO:0043043	rplT
Peptide biosynthetic process GO:0043043	rpmI
Peptide biosynthetic process GO:0043043	infC
Peptide biosynthetic process GO:0043043	thrS
Peptide biosynthetic process GO:0043043	aspS
Peptide biosynthetic process GO:0043043	argS
Peptide biosynthetic process GO:0043043	rplY
Peptide biosynthetic process GO:0043043	gltX
Peptide biosynthetic process GO:0043043	hisS
Peptide biosynthetic process GO:0043043	rplS
Peptide biosynthetic process GO:0043043	rpsP
Peptide biosynthetic process GO:0043043	alaS
Peptide biosynthetic process GO:0043043	prfB
Peptide biosynthetic process GO:0043043	rpsU
Peptide biosynthetic process GO:0043043	rpsO
Peptide biosynthetic process GO:0043043	infB
Peptide biosynthetic process GO:0043043	rimP
Peptide biosynthetic process GO:0043043	rpmA
Peptide biosynthetic process GO:0043043	rplU
Peptide biosynthetic process GO:0043043	rpsI
Peptide biosynthetic process GO:0043043	rplM
Peptide biosynthetic process GO:0043043	rplQ
Peptide biosynthetic process GO:0043043	rpsD
Peptide biosynthetic process GO:0043043	rpsK
Peptide biosynthetic process GO:0043043	rpsM
Peptide biosynthetic process GO:0043043	rpmJ
Peptide biosynthetic process GO:0043043	rpmD
Peptide biosynthetic process GO:0043043	rplR
Peptide biosynthetic process GO:0043043	rplF
Peptide biosynthetic process GO:0043043	rpsH
Peptide biosynthetic process GO:0043043	rpsN
Peptide biosynthetic process GO:0043043	rplX
Peptide biosynthetic process GO:0043043	rplN
Peptide biosynthetic process GO:0043043	rpsQ
Peptide biosynthetic process GO:0043043	rpmC
Peptide biosynthetic process GO:0043043	rplP
Peptide biosynthetic process GO:0043043	rpsC
Peptide biosynthetic process GO:0043043	rplV
Peptide biosynthetic process GO:0043043	rpsS
Peptide biosynthetic process GO:0043043	rplB
Peptide biosynthetic process GO:0043043	rplD
Peptide biosynthetic process GO:0043043	rplC
Peptide biosynthetic process GO:0043043	rpsJ
Peptide biosynthetic process GO:0043043	fusA
Peptide biosynthetic process GO:0043043	rpsG
Peptide biosynthetic process GO:0043043	rpsL
Peptide biosynthetic process GO:0043043	trpS
Peptide biosynthetic process GO:0043043	glyS
Peptide biosynthetic process GO:0043043	glyQ
Peptide biosynthetic process GO:0043043	rpmG
Peptide biosynthetic process GO:0043043	rpmB
Peptide biosynthetic process GO:0043043	rpmH
Peptide biosynthetic process GO:0043043	rpmE
Peptide biosynthetic process GO:0043043	rplK
Peptide biosynthetic process GO:0043043	rplA
Peptide biosynthetic process GO:0043043	rplJ
Peptide biosynthetic process GO:0043043	rplL
Peptide biosynthetic process GO:0043043	rpsF
Peptide biosynthetic process GO:0043043	rpsR
Peptide biosynthetic process GO:0043043	rplI
Peptide biosynthetic process GO:0043043	valS
Ribosomal small subunit assembly GO:0000028	rpsT
Ribosomal small subunit assembly GO:0000028	rpsB
