Seconds	Temp	Well	OD600	Row	Column	Induced	Imipenem	followup	Organism
14682	36.7 °C	B2	0.911	B	2	FALSE	0	Moved to Second Competition	E. coli
14994	36.8 °C	B2	0.923	B	2	FALSE	0	Moved to Second Competition	E. coli
15307	36.8 °C	B2	0.932	B	2	FALSE	0	Moved to Second Competition	E. coli
15619	36.7 °C	B2	0.943	B	2	FALSE	0	Moved to Second Competition	E. coli
15932	36.7 °C	B2	0.952	B	2	FALSE	0	Moved to Second Competition	E. coli
16244	36.8 °C	B2	0.962	B	2	FALSE	0	Moved to Second Competition	E. coli
16556	36.9 °C	B2	0.971	B	2	FALSE	0	Moved to Second Competition	E. coli
16869	36.7 °C	B2	0.979	B	2	FALSE	0	Moved to Second Competition	E. coli
17181	36.8 °C	B2	0.986	B	2	FALSE	0	Moved to Second Competition	E. coli
17493	36.8 °C	B2	0.994	B	2	FALSE	0	Moved to Second Competition	E. coli
17806	36.7 °C	B2	1.001	B	2	FALSE	0	Moved to Second Competition	E. coli
18118	36.8 °C	B2	1.008	B	2	FALSE	0	Moved to Second Competition	E. coli
18431	36.8 °C	B2	1.014	B	2	FALSE	0	Moved to Second Competition	E. coli
18744	36.8 °C	B2	1.021	B	2	FALSE	0	Moved to Second Competition	E. coli
19056	36.7 °C	B2	1.027	B	2	FALSE	0	Moved to Second Competition	E. coli
19368	36.8 °C	B2	1.033	B	2	FALSE	0	Moved to Second Competition	E. coli
19680	36.9 °C	B2	1.04	B	2	FALSE	0	Moved to Second Competition	E. coli
19993	36.7 °C	B2	1.047	B	2	FALSE	0	Moved to Second Competition	E. coli
20305	36.7 °C	B2	1.053	B	2	FALSE	0	Moved to Second Competition	E. coli
20617	36.8 °C	B2	1.058	B	2	FALSE	0	Moved to Second Competition	E. coli
20929	36.7 °C	B2	1.062	B	2	FALSE	0	Moved to Second Competition	E. coli
21242	36.7 °C	B2	1.067	B	2	FALSE	0	Moved to Second Competition	E. coli
21554	36.7 °C	B2	1.07	B	2	FALSE	0	Moved to Second Competition	E. coli
21866	36.8 °C	B2	1.073	B	2	FALSE	0	Moved to Second Competition	E. coli
22179	36.7 °C	B2	1.076	B	2	FALSE	0	Moved to Second Competition	E. coli
22491	36.8 °C	B2	1.079	B	2	FALSE	0	Moved to Second Competition	E. coli
22803	36.8 °C	B2	1.084	B	2	FALSE	0	Moved to Second Competition	E. coli
23116	36.8 °C	B2	1.088	B	2	FALSE	0	Moved to Second Competition	E. coli
23428	36.8 °C	B2	1.09	B	2	FALSE	0	Moved to Second Competition	E. coli
23740	36.7 °C	B2	1.094	B	2	FALSE	0	Moved to Second Competition	E. coli
24052	36.8 °C	B2	1.097	B	2	FALSE	0	Moved to Second Competition	E. coli
24365	36.8 °C	B2	1.099	B	2	FALSE	0	Moved to Second Competition	E. coli
24677	36.8 °C	B2	1.108	B	2	FALSE	0	Moved to Second Competition	E. coli
24990	36.8 °C	B2	1.111	B	2	FALSE	0	Moved to Second Competition	E. coli
25302	36.8 °C	B2	1.113	B	2	FALSE	0	Moved to Second Competition	E. coli
25614	36.9 °C	B2	1.116	B	2	FALSE	0	Moved to Second Competition	E. coli
25927	36.8 °C	B2	1.118	B	2	FALSE	0	Moved to Second Competition	E. coli
26239	36.7 °C	B2	1.121	B	2	FALSE	0	Moved to Second Competition	E. coli
26552	36.7 °C	B2	1.124	B	2	FALSE	0	Moved to Second Competition	E. coli
26864	36.7 °C	B2	1.125	B	2	FALSE	0	Moved to Second Competition	E. coli
27176	36.8 °C	B2	1.129	B	2	FALSE	0	Moved to Second Competition	E. coli
27489	36.8 °C	B2	1.132	B	2	FALSE	0	Moved to Second Competition	E. coli
27801	36.8 °C	B2	1.137	B	2	FALSE	0	Moved to Second Competition	E. coli
28113	36.8 °C	B2	1.14	B	2	FALSE	0	Moved to Second Competition	E. coli
28426	36.7 °C	B2	1.143	B	2	FALSE	0	Moved to Second Competition	E. coli
28738	36.8 °C	B2	1.144	B	2	FALSE	0	Moved to Second Competition	E. coli
29050	36.9 °C	B2	1.146	B	2	FALSE	0	Moved to Second Competition	E. coli
29363	36.8 °C	B2	1.148	B	2	FALSE	0	Moved to Second Competition	E. coli
29675	36.8 °C	B2	1.15	B	2	FALSE	0	Moved to Second Competition	E. coli
29987	36.7 °C	B2	1.152	B	2	FALSE	0	Moved to Second Competition	E. coli
30300	36.8 °C	B2	1.157	B	2	FALSE	0	Moved to Second Competition	E. coli
30612	36.8 °C	B2	1.159	B	2	FALSE	0	Moved to Second Competition	E. coli
30924	36.8 °C	B2	1.159	B	2	FALSE	0	Moved to Second Competition	E. coli
31236	36.7 °C	B2	1.161	B	2	FALSE	0	Moved to Second Competition	E. coli
31548	36.9 °C	B2	1.161	B	2	FALSE	0	Moved to Second Competition	E. coli
31861	36.8 °C	B2	1.162	B	2	FALSE	0	Moved to Second Competition	E. coli
32174	36.7 °C	B2	1.162	B	2	FALSE	0	Moved to Second Competition	E. coli
32486	36.8 °C	B2	1.163	B	2	FALSE	0	Moved to Second Competition	E. coli
32798	36.7 °C	B2	1.168	B	2	FALSE	0	Moved to Second Competition	E. coli
33111	36.8 °C	B2	1.169	B	2	FALSE	0	Moved to Second Competition	E. coli
33423	36.8 °C	B2	1.173	B	2	FALSE	0	Moved to Second Competition	E. coli
33736	36.7 °C	B2	1.175	B	2	FALSE	0	Moved to Second Competition	E. coli
34048	36.7 °C	B2	1.174	B	2	FALSE	0	Moved to Second Competition	E. coli
34361	36.8 °C	B2	1.173	B	2	FALSE	0	Moved to Second Competition	E. coli
34673	36.8 °C	B2	1.173	B	2	FALSE	0	Moved to Second Competition	E. coli
34986	36.8 °C	B2	1.175	B	2	FALSE	0	Moved to Second Competition	E. coli
35298	36.8 °C	B2	1.174	B	2	FALSE	0	Moved to Second Competition	E. coli
35610	36.7 °C	B2	1.173	B	2	FALSE	0	Moved to Second Competition	E. coli
35923	36.8 °C	B2	1.175	B	2	FALSE	0	Moved to Second Competition	E. coli
36235	36.8 °C	B2	1.174	B	2	FALSE	0	Moved to Second Competition	E. coli
36548	36.8 °C	B2	1.173	B	2	FALSE	0	Moved to Second Competition	E. coli
36860	36.8 °C	B2	1.171	B	2	FALSE	0	Moved to Second Competition	E. coli
37172	36.8 °C	B2	1.17	B	2	FALSE	0	Moved to Second Competition	E. coli
37485	36.7 °C	B2	1.171	B	2	FALSE	0	Moved to Second Competition	E. coli
37797	36.7 °C	B2	1.17	B	2	FALSE	0	Moved to Second Competition	E. coli
38110	36.7 °C	B2	1.169	B	2	FALSE	0	Moved to Second Competition	E. coli
38422	36.8 °C	B2	1.17	B	2	FALSE	0	Moved to Second Competition	E. coli
38735	36.8 °C	B2	1.171	B	2	FALSE	0	Moved to Second Competition	E. coli
39047	36.7 °C	B2	1.168	B	2	FALSE	0	Moved to Second Competition	E. coli
39360	36.8 °C	B2	1.169	B	2	FALSE	0	Moved to Second Competition	E. coli
39672	36.9 °C	B2	1.17	B	2	FALSE	0	Moved to Second Competition	E. coli
39984	36.8 °C	B2	1.169	B	2	FALSE	0	Moved to Second Competition	E. coli
40296	36.9 °C	B2	1.168	B	2	FALSE	0	Moved to Second Competition	E. coli
40609	36.7 °C	B2	1.166	B	2	FALSE	0	Moved to Second Competition	E. coli
40921	36.7 °C	B2	1.163	B	2	FALSE	0	Moved to Second Competition	E. coli
41233	36.8 °C	B2	1.162	B	2	FALSE	0	Moved to Second Competition	E. coli
41546	36.8 °C	B2	1.163	B	2	FALSE	0	Moved to Second Competition	E. coli
41858	36.9 °C	B2	1.16	B	2	FALSE	0	Moved to Second Competition	E. coli
42171	36.7 °C	B2	1.157	B	2	FALSE	0	Moved to Second Competition	E. coli
42483	36.8 °C	B2	1.154	B	2	FALSE	0	Moved to Second Competition	E. coli
42795	36.8 °C	B2	1.151	B	2	FALSE	0	Moved to Second Competition	E. coli
43108	36.8 °C	B2	1.147	B	2	FALSE	0	Moved to Second Competition	E. coli
43420	36.8 °C	B2	1.144	B	2	FALSE	0	Moved to Second Competition	E. coli
43732	36.8 °C	B2	1.141	B	2	FALSE	0	Moved to Second Competition	E. coli
44045	36.8 °C	B2	1.138	B	2	FALSE	0	Moved to Second Competition	E. coli
44357	36.7 °C	B2	1.139	B	2	FALSE	0	Moved to Second Competition	E. coli
44669	36.7 °C	B2	1.139	B	2	FALSE	0	Moved to Second Competition	E. coli
44982	36.7 °C	B2	1.138	B	2	FALSE	0	Moved to Second Competition	E. coli
45294	36.7 °C	B2	1.137	B	2	FALSE	0	Moved to Second Competition	E. coli
45607	36.9 °C	B2	1.135	B	2	FALSE	0	Moved to Second Competition	E. coli
45919	36.8 °C	B2	1.133	B	2	FALSE	0	Moved to Second Competition	E. coli
46232	36.7 °C	B2	1.132	B	2	FALSE	0	Moved to Second Competition	E. coli
46544	36.8 °C	B2	1.133	B	2	FALSE	0	Moved to Second Competition	E. coli
46856	36.7 °C	B2	1.133	B	2	FALSE	0	Moved to Second Competition	E. coli
47168	36.9 °C	B2	1.132	B	2	FALSE	0	Moved to Second Competition	E. coli
47481	36.8 °C	B2	1.131	B	2	FALSE	0	Moved to Second Competition	E. coli
47794	36.7 °C	B2	1.13	B	2	FALSE	0	Moved to Second Competition	E. coli
48106	36.8 °C	B2	1.129	B	2	FALSE	0	Moved to Second Competition	E. coli
48418	36.7 °C	B2	1.128	B	2	FALSE	0	Moved to Second Competition	E. coli
48730	36.8 °C	B2	1.127	B	2	FALSE	0	Moved to Second Competition	E. coli
49043	36.8 °C	B2	1.127	B	2	FALSE	0	Moved to Second Competition	E. coli
49355	36.8 °C	B2	1.126	B	2	FALSE	0	Moved to Second Competition	E. coli
49668	36.9 °C	B2	1.126	B	2	FALSE	0	Moved to Second Competition	E. coli
49980	36.7 °C	B2	1.125	B	2	FALSE	0	Moved to Second Competition	E. coli
50292	36.7 °C	B2	1.125	B	2	FALSE	0	Moved to Second Competition	E. coli
50605	36.8 °C	B2	1.125	B	2	FALSE	0	Moved to Second Competition	E. coli
50917	36.8 °C	B2	1.123	B	2	FALSE	0	Moved to Second Competition	E. coli
51229	36.9 °C	B2	1.123	B	2	FALSE	0	Moved to Second Competition	E. coli
51542	36.8 °C	B2	1.122	B	2	FALSE	0	Moved to Second Competition	E. coli
51854	36.7 °C	B2	1.121	B	2	FALSE	0	Moved to Second Competition	E. coli
52167	36.9 °C	B2	1.121	B	2	FALSE	0	Moved to Second Competition	E. coli
52479	36.9 °C	B2	1.121	B	2	FALSE	0	Moved to Second Competition	E. coli
52791	36.7 °C	B2	1.12	B	2	FALSE	0	Moved to Second Competition	E. coli
53104	36.9 °C	B2	1.119	B	2	FALSE	0	Moved to Second Competition	E. coli
53416	36.9 °C	B2	1.12	B	2	FALSE	0	Moved to Second Competition	E. coli
53728	36.9 °C	B2	1.119	B	2	FALSE	0	Moved to Second Competition	E. coli
54040	36.8 °C	B2	1.119	B	2	FALSE	0	Moved to Second Competition	E. coli
54353	36.8 °C	B2	1.119	B	2	FALSE	0	Moved to Second Competition	E. coli
54665	36.7 °C	B2	1.118	B	2	FALSE	0	Moved to Second Competition	E. coli
54978	36.8 °C	B2	1.118	B	2	FALSE	0	Moved to Second Competition	E. coli
55290	36.9 °C	B2	1.117	B	2	FALSE	0	Moved to Second Competition	E. coli
55603	36.8 °C	B2	1.117	B	2	FALSE	0	Moved to Second Competition	E. coli
55915	36.7 °C	B2	1.117	B	2	FALSE	0	Moved to Second Competition	E. coli
56227	36.9 °C	B2	1.116	B	2	FALSE	0	Moved to Second Competition	E. coli
56540	36.8 °C	B2	1.114	B	2	FALSE	0	Moved to Second Competition	E. coli
56852	36.7 °C	B2	1.114	B	2	FALSE	0	Moved to Second Competition	E. coli
57164	36.8 °C	B2	1.113	B	2	FALSE	0	Moved to Second Competition	E. coli
57477	36.7 °C	B2	1.112	B	2	FALSE	0	Moved to Second Competition	E. coli
57789	36.9 °C	B2	1.111	B	2	FALSE	0	Moved to Second Competition	E. coli
58102	36.7 °C	B2	1.11	B	2	FALSE	0	Moved to Second Competition	E. coli
58414	36.7 °C	B2	1.11	B	2	FALSE	0	Moved to Second Competition	E. coli
58726	36.7 °C	B2	1.109	B	2	FALSE	0	Moved to Second Competition	E. coli
59038	36.8 °C	B2	1.109	B	2	FALSE	0	Moved to Second Competition	E. coli
59351	36.7 °C	B2	1.107	B	2	FALSE	0	Moved to Second Competition	E. coli
59663	36.9 °C	B2	1.107	B	2	FALSE	0	Moved to Second Competition	E. coli
59975	36.7 °C	B2	1.107	B	2	FALSE	0	Moved to Second Competition	E. coli
60288	36.7 °C	B2	1.105	B	2	FALSE	0	Moved to Second Competition	E. coli
60600	36.8 °C	B2	1.104	B	2	FALSE	0	Moved to Second Competition	E. coli
60913	36.8 °C	B2	1.104	B	2	FALSE	0	Moved to Second Competition	E. coli
61225	36.8 °C	B2	1.102	B	2	FALSE	0	Moved to Second Competition	E. coli
61537	36.9 °C	B2	1.102	B	2	FALSE	0	Moved to Second Competition	E. coli
61850	36.7 °C	B2	1.101	B	2	FALSE	0	Moved to Second Competition	E. coli
62162	36.8 °C	B2	1.101	B	2	FALSE	0	Moved to Second Competition	E. coli
62474	36.7 °C	B2	1.1	B	2	FALSE	0	Moved to Second Competition	E. coli
62786	36.8 °C	B2	1.1	B	2	FALSE	0	Moved to Second Competition	E. coli
63099	36.8 °C	B2	1.098	B	2	FALSE	0	Moved to Second Competition	E. coli
63411	36.7 °C	B2	1.099	B	2	FALSE	0	Moved to Second Competition	E. coli
63723	36.8 °C	B2	1.097	B	2	FALSE	0	Moved to Second Competition	E. coli
64036	36.8 °C	B2	1.097	B	2	FALSE	0	Moved to Second Competition	E. coli
64348	36.9 °C	B2	1.096	B	2	FALSE	0	Moved to Second Competition	E. coli
64661	36.8 °C	B2	1.096	B	2	FALSE	0	Moved to Second Competition	E. coli
64973	36.8 °C	B2	1.095	B	2	FALSE	0	Moved to Second Competition	E. coli
65286	36.7 °C	B2	1.095	B	2	FALSE	0	Moved to Second Competition	E. coli
65598	36.7 °C	B2	1.094	B	2	FALSE	0	Moved to Second Competition	E. coli
65910	36.8 °C	B2	1.093	B	2	FALSE	0	Moved to Second Competition	E. coli
66223	36.7 °C	B2	1.093	B	2	FALSE	0	Moved to Second Competition	E. coli
66535	36.9 °C	B2	1.093	B	2	FALSE	0	Moved to Second Competition	E. coli
66848	36.8 °C	B2	1.092	B	2	FALSE	0	Moved to Second Competition	E. coli
67160	36.8 °C	B2	1.091	B	2	FALSE	0	Moved to Second Competition	E. coli
67472	36.8 °C	B2	1.091	B	2	FALSE	0	Moved to Second Competition	E. coli
67785	36.7 °C	B2	1.091	B	2	FALSE	0	Moved to Second Competition	E. coli
68097	36.8 °C	B2	1.09	B	2	FALSE	0	Moved to Second Competition	E. coli
68410	36.8 °C	B2	1.089	B	2	FALSE	0	Moved to Second Competition	E. coli
68722	36.8 °C	B2	1.088	B	2	FALSE	0	Moved to Second Competition	E. coli
69034	36.7 °C	B2	1.088	B	2	FALSE	0	Moved to Second Competition	E. coli
69347	36.7 °C	B2	1.088	B	2	FALSE	0	Moved to Second Competition	E. coli
69659	36.7 °C	B2	1.087	B	2	FALSE	0	Moved to Second Competition	E. coli
0	34.6 °C	B3	0.109	B	3	FALSE	0.125	Moved to Second Competition	E. coli
312	36.4 °C	B3	0.109	B	3	FALSE	0.125	Moved to Second Competition	E. coli
625	36.5 °C	B3	0.109	B	3	FALSE	0.125	Moved to Second Competition	E. coli
937	36.9 °C	B3	0.113	B	3	FALSE	0.125	Moved to Second Competition	E. coli
1250	36.8 °C	B3	0.117	B	3	FALSE	0.125	Moved to Second Competition	E. coli
1562	36.8 °C	B3	0.12	B	3	FALSE	0.125	Moved to Second Competition	E. coli
1875	36.7 °C	B3	0.124	B	3	FALSE	0.125	Moved to Second Competition	E. coli
2187	36.8 °C	B3	0.129	B	3	FALSE	0.125	Moved to Second Competition	E. coli
2500	36.7 °C	B3	0.135	B	3	FALSE	0.125	Moved to Second Competition	E. coli
2812	36.8 °C	B3	0.143	B	3	FALSE	0.125	Moved to Second Competition	E. coli
3125	36.8 °C	B3	0.151	B	3	FALSE	0.125	Moved to Second Competition	E. coli
3437	36.7 °C	B3	0.161	B	3	FALSE	0.125	Moved to Second Competition	E. coli
3749	36.8 °C	B3	0.173	B	3	FALSE	0.125	Moved to Second Competition	E. coli
4062	36.8 °C	B3	0.186	B	3	FALSE	0.125	Moved to Second Competition	E. coli
4374	36.8 °C	B3	0.199	B	3	FALSE	0.125	Moved to Second Competition	E. coli
4687	36.8 °C	B3	0.217	B	3	FALSE	0.125	Moved to Second Competition	E. coli
4999	36.8 °C	B3	0.226	B	3	FALSE	0.125	Moved to Second Competition	E. coli
5311	36.8 °C	B3	0.238	B	3	FALSE	0.125	Moved to Second Competition	E. coli
5624	36.7 °C	B3	0.252	B	3	FALSE	0.125	Moved to Second Competition	E. coli
5936	36.8 °C	B3	0.276	B	3	FALSE	0.125	Moved to Second Competition	E. coli
6249	36.8 °C	B3	0.289	B	3	FALSE	0.125	Moved to Second Competition	E. coli
6561	36.7 °C	B3	0.309	B	3	FALSE	0.125	Moved to Second Competition	E. coli
6873	36.8 °C	B3	0.332	B	3	FALSE	0.125	Moved to Second Competition	E. coli
7186	36.8 °C	B3	0.35	B	3	FALSE	0.125	Moved to Second Competition	E. coli
7498	36.8 °C	B3	0.367	B	3	FALSE	0.125	Moved to Second Competition	E. coli
7811	36.7 °C	B3	0.391	B	3	FALSE	0.125	Moved to Second Competition	E. coli
8123	36.7 °C	B3	0.415	B	3	FALSE	0.125	Moved to Second Competition	E. coli
8435	36.8 °C	B3	0.437	B	3	FALSE	0.125	Moved to Second Competition	E. coli
8748	36.9 °C	B3	0.456	B	3	FALSE	0.125	Moved to Second Competition	E. coli
9060	36.7 °C	B3	0.476	B	3	FALSE	0.125	Moved to Second Competition	E. coli
9372	36.7 °C	B3	0.491	B	3	FALSE	0.125	Moved to Second Competition	E. coli
9685	36.8 °C	B3	0.505	B	3	FALSE	0.125	Moved to Second Competition	E. coli
9997	36.9 °C	B3	0.516	B	3	FALSE	0.125	Moved to Second Competition	E. coli
10309	36.7 °C	B3	0.532	B	3	FALSE	0.125	Moved to Second Competition	E. coli
10622	36.7 °C	B3	0.548	B	3	FALSE	0.125	Moved to Second Competition	E. coli
10934	36.8 °C	B3	0.565	B	3	FALSE	0.125	Moved to Second Competition	E. coli
11246	36.8 °C	B3	0.581	B	3	FALSE	0.125	Moved to Second Competition	E. coli
11558	36.7 °C	B3	0.592	B	3	FALSE	0.125	Moved to Second Competition	E. coli
11871	36.7 °C	B3	0.609	B	3	FALSE	0.125	Moved to Second Competition	E. coli
12183	36.8 °C	B3	0.611	B	3	FALSE	0.125	Moved to Second Competition	E. coli
12495	36.7 °C	B3	0.626	B	3	FALSE	0.125	Moved to Second Competition	E. coli
12808	36.7 °C	B3	0.649	B	3	FALSE	0.125	Moved to Second Competition	E. coli
13120	36.9 °C	B3	0.664	B	3	FALSE	0.125	Moved to Second Competition	E. coli
13432	36.8 °C	B3	0.683	B	3	FALSE	0.125	Moved to Second Competition	E. coli
13745	36.7 °C	B3	0.693	B	3	FALSE	0.125	Moved to Second Competition	E. coli
14057	36.8 °C	B3	0.709	B	3	FALSE	0.125	Moved to Second Competition	E. coli
14370	36.7 °C	B3	0.703	B	3	FALSE	0.125	Moved to Second Competition	E. coli
14682	36.7 °C	B3	0.732	B	3	FALSE	0.125	Moved to Second Competition	E. coli
14994	36.8 °C	B3	0.705	B	3	FALSE	0.125	Moved to Second Competition	E. coli
15307	36.8 °C	B3	0.707	B	3	FALSE	0.125	Moved to Second Competition	E. coli
15619	36.7 °C	B3	0.713	B	3	FALSE	0.125	Moved to Second Competition	E. coli
15932	36.7 °C	B3	0.754	B	3	FALSE	0.125	Moved to Second Competition	E. coli
16244	36.8 °C	B3	0.728	B	3	FALSE	0.125	Moved to Second Competition	E. coli
16556	36.9 °C	B3	0.731	B	3	FALSE	0.125	Moved to Second Competition	E. coli
16869	36.7 °C	B3	0.739	B	3	FALSE	0.125	Moved to Second Competition	E. coli
17181	36.8 °C	B3	0.739	B	3	FALSE	0.125	Moved to Second Competition	E. coli
17493	36.8 °C	B3	0.744	B	3	FALSE	0.125	Moved to Second Competition	E. coli
17806	36.7 °C	B3	0.748	B	3	FALSE	0.125	Moved to Second Competition	E. coli
18118	36.8 °C	B3	0.75	B	3	FALSE	0.125	Moved to Second Competition	E. coli
18431	36.8 °C	B3	0.751	B	3	FALSE	0.125	Moved to Second Competition	E. coli
18744	36.8 °C	B3	0.754	B	3	FALSE	0.125	Moved to Second Competition	E. coli
19056	36.7 °C	B3	0.757	B	3	FALSE	0.125	Moved to Second Competition	E. coli
19368	36.8 °C	B3	0.759	B	3	FALSE	0.125	Moved to Second Competition	E. coli
19680	36.9 °C	B3	0.774	B	3	FALSE	0.125	Moved to Second Competition	E. coli
19993	36.7 °C	B3	0.764	B	3	FALSE	0.125	Moved to Second Competition	E. coli
20305	36.7 °C	B3	0.766	B	3	FALSE	0.125	Moved to Second Competition	E. coli
20617	36.8 °C	B3	0.768	B	3	FALSE	0.125	Moved to Second Competition	E. coli
20929	36.7 °C	B3	0.769	B	3	FALSE	0.125	Moved to Second Competition	E. coli
21242	36.7 °C	B3	0.773	B	3	FALSE	0.125	Moved to Second Competition	E. coli
21554	36.7 °C	B3	0.773	B	3	FALSE	0.125	Moved to Second Competition	E. coli
21866	36.8 °C	B3	0.772	B	3	FALSE	0.125	Moved to Second Competition	E. coli
22179	36.7 °C	B3	0.774	B	3	FALSE	0.125	Moved to Second Competition	E. coli
22491	36.8 °C	B3	0.774	B	3	FALSE	0.125	Moved to Second Competition	E. coli
22803	36.8 °C	B3	0.774	B	3	FALSE	0.125	Moved to Second Competition	E. coli
23116	36.8 °C	B3	0.776	B	3	FALSE	0.125	Moved to Second Competition	E. coli
23428	36.8 °C	B3	0.777	B	3	FALSE	0.125	Moved to Second Competition	E. coli
23740	36.7 °C	B3	0.779	B	3	FALSE	0.125	Moved to Second Competition	E. coli
24052	36.8 °C	B3	0.782	B	3	FALSE	0.125	Moved to Second Competition	E. coli
24365	36.8 °C	B3	0.784	B	3	FALSE	0.125	Moved to Second Competition	E. coli
24677	36.8 °C	B3	0.789	B	3	FALSE	0.125	Moved to Second Competition	E. coli
24990	36.8 °C	B3	0.791	B	3	FALSE	0.125	Moved to Second Competition	E. coli
25302	36.8 °C	B3	0.796	B	3	FALSE	0.125	Moved to Second Competition	E. coli
25614	36.9 °C	B3	0.8	B	3	FALSE	0.125	Moved to Second Competition	E. coli
25927	36.8 °C	B3	0.803	B	3	FALSE	0.125	Moved to Second Competition	E. coli
26239	36.7 °C	B3	0.807	B	3	FALSE	0.125	Moved to Second Competition	E. coli
26552	36.7 °C	B3	0.81	B	3	FALSE	0.125	Moved to Second Competition	E. coli
26864	36.7 °C	B3	0.812	B	3	FALSE	0.125	Moved to Second Competition	E. coli
27176	36.8 °C	B3	0.815	B	3	FALSE	0.125	Moved to Second Competition	E. coli
27489	36.8 °C	B3	0.817	B	3	FALSE	0.125	Moved to Second Competition	E. coli
27801	36.8 °C	B3	0.821	B	3	FALSE	0.125	Moved to Second Competition	E. coli
28113	36.8 °C	B3	0.823	B	3	FALSE	0.125	Moved to Second Competition	E. coli
28426	36.7 °C	B3	0.826	B	3	FALSE	0.125	Moved to Second Competition	E. coli
28738	36.8 °C	B3	0.826	B	3	FALSE	0.125	Moved to Second Competition	E. coli
29050	36.9 °C	B3	0.828	B	3	FALSE	0.125	Moved to Second Competition	E. coli
29363	36.8 °C	B3	0.829	B	3	FALSE	0.125	Moved to Second Competition	E. coli
