well	org	drug	induced	rep	dose	units	date
C6	5111	vancomycin	FALSE	3	50	ug/mL	2022-03-11
D6	5111	vancomycin	FALSE	4	50	ug/mL	2022-03-11
E6	5111	vancomycin	TRUE	1	50	ug/mL	2022-03-11
F6	5111	vancomycin	TRUE	2	50	ug/mL	2022-03-11
G6	5111	vancomycin	TRUE	3	50	ug/mL	2022-03-11
H6	5111	vancomycin	TRUE	4	50	ug/mL	2022-03-11
A7	5142	none	FALSE	1	NA	NA	2022-03-11
B7	5142	none	FALSE	2	NA	NA	2022-03-11
C7	5142	none	FALSE	3	NA	NA	2022-03-11
D7	5142	none	FALSE	4	NA	NA	2022-03-11
E7	5142	none	TRUE	1	NA	NA	2022-03-11
F7	5142	none	TRUE	2	NA	NA	2022-03-11
G7	5142	none	TRUE	3	NA	NA	2022-03-11
H7	5142	none	TRUE	4	NA	NA	2022-03-11
A8	5142	ampicillin	FALSE	1	4	ug/mL	2022-03-11
B8	5142	ampicillin	FALSE	2	4	ug/mL	2022-03-11
C8	5142	ampicillin	FALSE	3	4	ug/mL	2022-03-11
D8	5142	ampicillin	FALSE	4	4	ug/mL	2022-03-11
E8	5142	ampicillin	TRUE	1	4	ug/mL	2022-03-11
F8	5142	ampicillin	TRUE	2	4	ug/mL	2022-03-11
G8	5142	ampicillin	TRUE	3	4	ug/mL	2022-03-11
H8	5142	ampicillin	TRUE	4	4	ug/mL	2022-03-11
A9	5142	mecillinam	FALSE	1	120	ng/mL	2022-03-11
B9	5142	mecillinam	FALSE	2	120	ng/mL	2022-03-11
C9	5142	mecillinam	FALSE	3	120	ng/mL	2022-03-11
D9	5142	mecillinam	FALSE	4	120	ng/mL	2022-03-11
E9	5142	mecillinam	TRUE	1	120	ng/mL	2022-03-11
F9	5142	mecillinam	TRUE	2	120	ng/mL	2022-03-11
G9	5142	mecillinam	TRUE	3	120	ng/mL	2022-03-11
H9	5142	mecillinam	TRUE	4	120	ng/mL	2022-03-11
A10	5142	novobiocin	FALSE	1	120	ug/mL	2022-03-11
B10	5142	novobiocin	FALSE	2	120	ug/mL	2022-03-11
C10	5142	novobiocin	FALSE	3	120	ug/mL	2022-03-11
D10	5142	novobiocin	FALSE	4	120	ug/mL	2022-03-11
E10	5142	novobiocin	TRUE	1	120	ug/mL	2022-03-11
F10	5142	novobiocin	TRUE	2	120	ug/mL	2022-03-11
G10	5142	novobiocin	TRUE	3	120	ug/mL	2022-03-11
H10	5142	novobiocin	TRUE	4	120	ug/mL	2022-03-11
A11	5142	urea	FALSE	1	100	mM	2022-03-11
B11	5142	urea	FALSE	2	100	mM	2022-03-11
C11	5142	urea	FALSE	3	100	mM	2022-03-11
D11	5142	urea	FALSE	4	100	mM	2022-03-11
E11	5142	urea	TRUE	1	100	mM	2022-03-11
F11	5142	urea	TRUE	2	100	mM	2022-03-11
G11	5142	urea	TRUE	3	100	mM	2022-03-11
H11	5142	urea	TRUE	4	100	mM	2022-03-11
A12	5142	vancomycin	FALSE	1	50	ug/mL	2022-03-11
B12	5142	vancomycin	FALSE	2	50	ug/mL	2022-03-11
C12	5142	vancomycin	FALSE	3	50	ug/mL	2022-03-11
D12	5142	vancomycin	FALSE	4	50	ug/mL	2022-03-11
E12	5142	vancomycin	TRUE	1	50	ug/mL	2022-03-11
F12	5142	vancomycin	TRUE	2	50	ug/mL	2022-03-11
G12	5142	vancomycin	TRUE	3	50	ug/mL	2022-03-11
H12	5142	vancomycin	TRUE	4	50	ug/mL	2022-03-11
